task_id,root_cause_primary,secondary_tags,contract_clause_ids,validity_override,validity_reason,review_status,evidence_summary
hydra_core__compose_initialize_core__001,task_or_evaluator_defect,test_harness_state,B001;B002;B004,benchmark_invalid_candidate,旧 public test 在调用提交前创建固定目录并因残留目录失败；当前冻结题已改为只读 fixture,assistant_first_pass,失败发生在 public test 准备阶段且尚未调用提交实现
importlib_resources__traversable_tree_core__hard3_001,behavior_drift,api_contract;resource_loading,B004,,,assistant_first_pass,提交用不兼容的 pathlib 子类包装资源路径导致 traversable 构造失败
jupyter_core__paths_resolver_core__hard3_001,behavior_drift,platform_path,B002,,,assistant_first_pass,Windows 路径被当作当前 POSIX 环境下的相对路径重新拼接
keyring__backend_select_core__hard3_001,behavior_drift,selection_precedence;name_resolution,B006;B007,,,assistant_first_pass,环境变量指定的 backend 名称没有匹配到对应候选类
mkdocs__plugin_config_core__hard3_001,behavior_drift,registry_dispatch;ordering_precedence,B002,,,assistant_first_pass,插件配置加载后事件 hook 未进入可执行注册表
multidict__multidict_mutation_core__hard3_001,behavior_drift,data_structure_semantics;ordering_precedence,B001;B002,,,assistant_first_pass,重复键追加后单值读取返回最早值而不是契约要求的最新值
parsel__selector_namespace_core__hard3_001,task_or_evaluator_defect,undeclared_api;post_run_task_fixed,,benchmark_invalid_candidate,运行时 TASK 未声明 Selector.get/getall 而 evaluator 调用 get,assistant_first_pass,当前 TASK 已在实验后补入 get/getall
paste__dispatch_map_core__001,task_or_evaluator_defect,undeclared_response_body,,benchmark_invalid_candidate,TASK 只要求 HTTP 404 status 而 evaluator 要求正文含字面量 404,assistant_first_pass,提交已经返回 404 状态但测试增加了未公开的正文格式要求
pluggy__hook_wrapper_core__hard3_001,task_or_evaluator_defect,undeclared_api,,benchmark_invalid_candidate,运行时 TASK 未声明 call_historic 及其签名,assistant_first_pass,首败直接调用未公开的 call_historic
pylint__config_find_core__001,contract_api_completion,api_surface;packaging_export,B005,,,assistant_first_pass,featurelifted 顶层缺少公开契约要求的 PyLinter 导出
pytest__ini_markers_core__001,task_or_evaluator_defect,undeclared_api;post_run_task_fixed,,benchmark_invalid_candidate,运行时 TASK 未声明 from_lines 而 evaluator 调用该方法,assistant_first_pass,当前 TASK 已在实验后补入 from_lines
readme_renderer__content_type_core__hard3_001,task_or_evaluator_defect,undeclared_output_marker,,benchmark_invalid_candidate,TASK 只要求选择 Markdown renderer 而 evaluator 要求输出含 markdown 字样,assistant_first_pass,标题已经渲染为 h1 但测试使用与公开行为不对应的字面标记
scrapy__item_loader_core__hard3_001,behavior_drift,api_input_shape;adapter_semantics,B002;B003,,,assistant_first_pass,ItemLoader 将 item 类当作已实例化 mapping 调用实例方法
tox__factor_expression_core__hard3_001,behavior_drift,parsing_normalization;combinatorial_expansion,B001;B003,,,assistant_first_pass,factor expression 解析未展开 brace group 组合
typer__command_parser_core__001,contract_api_completion,api_surface;packaging_export,B006,,,assistant_first_pass,提交缺少 featurelifted.testing 子模块及 CliRunner API
yamale__schema_validate_core__hard3_001,behavior_drift,parsing_normalization;validation_boundary,B001;B004,,,assistant_first_pass,schema parser 不接受任务要求的简写 validator 表达式
