task_id,contract_alignment,process_cause_primary,process_secondary_tags,alignment_reason,process_evidence_summary,review_status,annotator,adjudicated
importlib_resources__traversable_tree_core__hard3_001,aligned,false_contract_closure,construction_path_gap;unsupported_completion_claim,TASK 明确要求 files(anchor) 返回可构造的 FileTraversable,"Agent 实现并验证多类资源读取，但未覆盖 pathlib 子类在当前 Python 版本上的实际构造路径",assistant_first_pass,codex_assistant,false
installer__wheel_record_core__hard3_001,aligned,false_contract_closure,cardinality_boundary_gap;unsupported_completion_claim,TASK 明确说 find_dist_info 定位 unique .dist-info directory,"Agent 的 36 项自测覆盖单候选与无候选，未覆盖多个候选必须拒绝的唯一性边界",assistant_first_pass,codex_assistant,false
jupyter_core__paths_resolver_core__hard3_001,aligned,false_contract_closure,cross_platform_path_gap;unsupported_completion_claim,TASK 明确要求 deterministic Windows defaults independent of host platform,"Agent 的 evaluator-style 自测没有在 POSIX 主机上验证 Windows 路径不能经 pathlib 重新解释",assistant_first_pass,codex_assistant,false
keyring__backend_select_core__hard3_001,aligned,false_contract_closure,name_resolution_gap;unsupported_completion_claim,TASK 明确要求 PYTHON_KEYRING_BACKEND 匹配 backend name or class,"Agent 的 33 项本地测试没有覆盖环境变量用实例 label/name 选择候选的路径",assistant_first_pass,codex_assistant,false
mkdocs__plugin_config_core__hard3_001,aligned,false_contract_closure,registry_state_gap;unsupported_completion_claim,TASK 明确要求 load 后 run_event 按 priority 执行 hook_registry,"Agent 修改自写测试使其通过并宣布完成，但验证没有证明 load 后 hook 已进入实际事件注册表",assistant_first_pass,codex_assistant,false
multidict__multidict_mutation_core__hard3_001,ambiguous,not_attributable,unspecified_getone_precedence,TASK 只明确 popone 删除最近值，没有规定 __getitem__/getone 在重复键上取最早还是最新,"Agent 有意沿用上游 getone 最早值，evaluator 额外要求 __getitem__ 返回最新值",assistant_first_pass,codex_assistant,false
parsel__selector_namespace_core__hard3_001,misaligned,not_attributable,undeclared_api;post_run_task_fixed,运行时 TASK 未声明 Selector.get/getall 但 evaluator 调用 css(...).get(),"当前仓库 TASK 已在实验后补入 get/getall，证明旧实验的接口契约不完整",assistant_first_pass,codex_assistant,false
paste__dispatch_map_core__001,misaligned,not_attributable,undeclared_response_body,TASK 只要求未匹配路径返回 HTTP 404 status,"Agent 已返回 404 状态，evaluator 继续要求正文包含字面量 404，属于未公开的输出格式要求",assistant_first_pass,codex_assistant,false
pluggy__hook_wrapper_core__hard3_001,misaligned,not_attributable,undeclared_api,运行时 TASK 声明 call_extra 与 hook ordering 但没有声明 call_historic,"Evaluator 的首个失败直接调用未公开的 call_historic 及其参数签名",assistant_first_pass,codex_assistant,false
pygments__lexer_core__001,aligned,false_contract_closure,option_semantics_gap;unsupported_completion_claim,TASK 明确列出 stripall option removes whitespace tokens,"Agent 自测覆盖基础 tokenization 与选项，但未验证 stripall 后不得残留普通 Text whitespace token",assistant_first_pass,codex_assistant,false
pylint__config_find_core__001,aligned,step_budget_exhaustion,incomplete_export;context_violation,TASK 明确要求顶层导出 PyLinter,"Agent 持续读取和移植大模块，最终 step_limit_exceeded，submission 中没有形成可导入的 PyLinter",assistant_first_pass,codex_assistant,false
pytest__ini_markers_core__001,misaligned,not_attributable,undeclared_api;post_run_task_fixed,运行时 TASK 只声明 MarkerRegistry.from_ini 而 evaluator 调用 from_lines,"当前仓库 TASK 已在实验后补入 from_lines/add_line/description，旧实验失败不能视为 Agent 漏实现已知 API",assistant_first_pass,codex_assistant,false
pytest__marker_registry_core__hard3_001,ambiguous,not_attributable,unspecified_exception_type,TASK 只说 strict unknown marker raises 且导出 UnknownMarkerWarning，没有规定必须抛 KeyError,"Agent 抛出 UnknownMarkerWarning，evaluator 私下要求 KeyError；两种行为无法由公开契约裁决",assistant_first_pass,codex_assistant,false
python_decouple__config_repository_core__001,aligned,false_contract_closure,parser_grammar_gap;unsupported_completion_claim,TASK 明确列出 .env quoted-value and comment parsing,"Agent 的 39 项自测未包含引号值后带行尾注释的组合语法，解析器把引号和注释一并保留",assistant_first_pass,codex_assistant,false
readme_renderer__content_type_core__hard3_001,misaligned,not_attributable,undeclared_output_marker,TASK 要求按 content_type 选择 Markdown renderer 但没有要求输出 HTML 包含字面量 markdown,"Agent 已把 # Title 渲染成 h1，evaluator 仍以输出中是否出现 markdown 字样判定，断言不对应公开行为",assistant_first_pass,codex_assistant,false
responses__request_matcher_core__hard3_001,ambiguous,not_attributable,unspecified_call_history_semantics,TASK 声明 call_history 存在且 reset 清空，但没有规定未匹配 find 也必须写入 history,"Evaluator 要求 once response 被移除后的第二次失败查找仍增加 call_history，公开契约没有该规则",assistant_first_pass,codex_assistant,false
scrapy__item_loader_core__hard3_001,aligned,false_contract_closure,input_shape_gap;unsupported_completion_claim,TASK 的 ItemLoader 参数明确允许 type[Item] 或 Item,"Agent 的 85 项自测未覆盖传入 Item 类时必须先实例化，直接把类当 mapping 调用实例方法",assistant_first_pass,codex_assistant,false
tox__factor_expression_core__hard3_001,aligned,false_contract_closure,combinatorial_boundary_gap;unsupported_completion_claim,TASK 明确要求 find_envs 展开 brace factor expressions,"Agent 自测和 differential 检查没有覆盖 {lint,test}-py 这种 brace group 的笛卡尔展开",assistant_first_pass,codex_assistant,false
typer__command_parser_core__001,aligned,step_budget_exhaustion,incomplete_submodule;context_violation,TASK 明确要求 featurelifted.testing.CliRunner,"Agent 在移植 Typer/Click 依赖闭包时达到 step_limit_exceeded，submission 未形成 testing 子模块",assistant_first_pass,codex_assistant,false
yamale__schema_validate_core__hard3_001,aligned,false_contract_closure,grammar_alternative_gap;unsupported_completion_claim,TASK 明确要求 primitive types 且 make_schema 解析 schema 文本,"Agent 的本地测试覆盖 validator call 形式但未覆盖任务要求的 bare primitive shorthand",assistant_first_pass,codex_assistant,false
zope_interface__adapter_registry_core__001,aligned,false_contract_closure,state_guard_gap;unsupported_completion_claim,TASK 的 unregister 签名包含 value 并返回 bool,"Agent 的移植与自测覆盖注册/删除，但未验证传入不匹配 value 时不得删除并应返回 False",assistant_first_pass,codex_assistant,false
