task_id,suite_split,selected,agent_attempted,functional_pass,freeze_preflight_blocked,dependency_install_failed,context_violation,strict_replacement_required,source_snapshot_id,source_snapshot_match
coverage__path_remap_core__001,python150,True,True,True,False,False,False,False,github__coveragepy__coveragepy__e426d54694bd,True
coverage__report_core__001,python150,True,True,True,False,False,False,False,github__coveragepy__coveragepy__e426d54694bd,True
coverage__source_selection_core__001,python150,True,True,True,False,False,True,True,github__coveragepy__coveragepy__e426d54694bd,True
croniter__cron_parse_core__001,python150,True,True,True,False,False,False,False,github__pallets_eco__croniter__c013dd29183a,True
dataclasses_json__serde_core__001,python150,True,True,True,False,False,False,False,github__lidatong__dataclasses_json__3c5b2884e083,True
dateutil__zone_resolver_core__hard3_001,python150,True,True,False,False,False,False,False,github__dateutil__dateutil__908960127252,True
decorator__signature_preserving_core__001,python150,True,True,False,False,False,False,False,github__micheles__decorator__09e3124ed957,True
deepdiff__deep_compare_core__001,python150,True,True,True,False,False,True,True,github__qlustered__deepdiff__94c962c3cc12,True
diskcache__eviction_policy_core__hard3_001,python150,True,True,True,False,False,False,False,github__grantjenks__python_diskcache__0ac33411f2a9,True
distlib__wheel_metadata_core__hard3_001,python150,True,False,False,True,False,,True,,
dogpile_cache__region_backend_core__001,hard50,True,True,True,False,False,False,False,github__sqlalchemy__dogpile_cache__185db4fb6cd8,True
dramatiq__actor_stub_broker_core__001,hard50,True,True,True,False,False,False,False,github__bogdanp__dramatiq__848b35f2f960,True
dulwich__config_parse_core__001,hard50,True,True,True,False,False,False,False,github__jelmer__dulwich__2f039e679035,True
dynaconf__settings_merge_core__001,python150,True,True,False,False,False,False,False,github__dynaconf__dynaconf__038e0439fdf2,True
email_validator__validate_core__001,python150,True,True,True,False,False,False,False,github__joshdata__python_email_validator__e49b867521a5,True
environs__typed_env_core__001,python150,True,True,True,False,False,False,False,github__sloria__environs__562bcbac41b7,True
faker__provider_core__001,python150,True,True,True,False,False,True,True,github__joke2k__faker__2d3753ae9184,True
falcon__responder_routing_core__001,hard50,True,True,True,False,False,True,True,github__falconry__falcon__ea2b14d34bdb,True
filelock__reentrant_lock_core__001,python150,True,True,True,False,False,False,False,github__tox_dev__filelock__206f5893cac6,True
flake8__plugin_options_core__hard3_001,python150,True,True,False,False,False,False,False,github__pycqa__flake8__4f658626a87a,True
flask__route_dispatch_core__001,python150,True,True,False,False,False,True,True,github__pallets__flask__9cb579f98b54,True
fs__url_opener_core__hard3_001,python150,True,False,False,True,False,,True,,
fsspec__url_chain_core__hard3_001,python150,True,False,False,True,False,,True,,
glom__spec_eval_core__hard3_001,python150,True,True,True,False,False,True,True,github__mahmoud__glom__2250f02139ca,True
goodconf__typed_env_core__001,hard50,True,True,False,False,True,False,True,github__lincolnloop__goodconf__6fd9a4561ba6,True
graphene__schema_execute_core__001,hard50,True,True,True,False,False,True,True,github__graphql_python__graphene__82903263080b,True
h11__message_parse_core__001,python150,True,True,True,False,False,False,False,github__python_hyper__h11__5c23411f14fa,True
h2__frame_parse_core__001,python150,True,True,True,False,False,False,False,github__python_hyper__h2__bbdbf7654624,True
hatch__project_metadata_core__hard3_001,python150,True,True,False,False,False,True,True,github__pypa__hatch__1c66b30e80a7,True
httpretty__uri_stub_core__001,hard50,True,True,True,False,False,False,False,github__gabrielfalcao__httpretty__f9f012711597,True
httpx__request_model_core__001,python150,True,True,True,False,False,False,False,github__encode__httpx__3fdce099a597,True
humanize__naturaltime_core__001,python150,True,True,True,False,False,True,True,github__python_humanize__humanize__7edd04a349f2,True
hydra_core__compose_initialize_core__001,hard50,True,True,False,False,False,True,True,github__facebookresearch__hydra__02ba9be659d0,True
importlib_metadata__entry_points_core__001,python150,True,True,True,False,False,False,False,github__python__importlib_metadata__ba1c0026121e,True
importlib_resources__traversable_tree_core__hard3_001,python150,True,True,False,False,False,True,True,github__python__importlib_resources__001958068578,True
installer__wheel_record_core__hard3_001,python150,True,True,False,False,False,False,False,github__pypa__installer__648a0b9a91d0,True
intervaltree__interval_tree_core__001,python150,True,True,True,False,False,False,False,github__chaimleib__intervaltree__9741eb324c97,True
isodate__duration_parse_core__001,python150,True,True,True,False,False,False,False,github__gweis__isodate__f4373f2cf435,True
isort__settings_resolver_core__hard3_001,python150,True,True,True,False,False,True,True,github__pycqa__isort__8422ea593a22,True
itsdangerous__timed_serializer_core__001,python150,True,True,True,False,False,False,False,github__pallets__itsdangerous__ec2acee1e8b4,True
jinja2__compile_render_core__001,python150,True,True,True,False,False,True,True,github__pallets__jinja__9a72443c8587,True
jinja2__extensions_core__001,python150,True,True,True,False,False,False,False,github__pallets__jinja__9a72443c8587,True
jinja2__filters_tests_core__001,python150,True,True,True,False,False,False,False,github__pallets__jinja__9a72443c8587,True
jinja2__lexer_parser_core__001,python150,True,True,True,False,False,True,True,github__pallets__jinja__9a72443c8587,True
jinja2__loader_inheritance_core__001,python150,True,True,True,False,False,False,False,github__pallets__jinja__9a72443c8587,True
json5__parse_core__001,python150,True,True,True,False,False,False,False,github__dpranke__pyjson5__31c7118aa7ba,True
json_logic__evaluator_core__hard3_001,python150,True,True,True,False,False,False,False,github__nadirizr__json_logic_py__ba7f0a8e6175,True
jsonpath_ng__expression_eval_core__001,python150,True,True,True,False,False,False,False,github__h2non__jsonpath_ng__8d7356dcb6f2,True
jsonpointer__resolve_core__001,python150,True,True,True,False,False,False,False,github__stefankoegl__python_json_pointer__362d9007ed9e,True
jsonschema__validator_core__001,python150,True,True,True,False,False,True,True,github__python_jsonschema__jsonschema__032f23149b5a,True
jupyter_core__paths_resolver_core__hard3_001,python150,True,True,False,False,False,True,True,github__jupyter__jupyter_core__23116e7ef136,True
jupyter_server__extension_config_core__hard3_001,python150,True,False,False,True,False,,True,,
keyring__backend_select_core__hard3_001,python150,True,True,False,False,False,False,False,github__jaraco__keyring__4c51f18f5ba6,True
lark__grammar_loader_core__001,python150,True,True,True,False,False,False,False,github__lark_parser__lark__c80e589ad9d9,True
lark__parse_tree_core__001,python150,True,True,True,False,False,True,True,github__lark_parser__lark__702440140c56,True
lark__visitor_transform_core__001,python150,True,True,True,False,False,False,False,github__lark_parser__lark__702440140c56,True
license_expression__policy_core__hard3_001,python150,True,False,False,True,False,,True,,
limits__strategy_storage_core__001,hard50,True,True,False,False,True,False,True,github__alisaifee__limits__cb0ff4294d1b,True
luigi__task_requires_core__001,hard50,True,True,False,False,True,False,True,github__spotify__luigi__715f65c4a56a,True
mako__lexer_expression_core__001,python150,True,True,True,False,False,False,False,github__sqlalchemy__mako__8e2a8cd3a196,True
markdown__extensions_core__001,python150,True,True,True,False,False,False,False,github__python_markdown__markdown__73b4842a1e1c,True
markdown_it__commonmark_render__001,python150,True,True,True,False,False,False,False,github__executablebooks__markdown_it_py__4c5e1b22e6a4,True
marshmallow__schema_core__001,python150,True,True,True,False,False,False,False,github__marshmallow_code__marshmallow__a4ceae103333,True
mashumaro__dataclass_codec_core__001,hard50,True,True,True,False,False,False,False,github__fatal1ty__mashumaro__0ad3eaed34f0,True
mimesis__person_address_core__001,hard50,True,True,True,False,False,False,False,github__lk_geimfari__mimesis__b285fd17ada4,True
mistune__markdown_plugin_core__001,hard50,True,True,True,False,False,False,False,github__lepture__mistune__a1b50bc12e06,True
mitmproxy__url_parse_core__001,hard50,True,True,True,False,False,False,False,github__mitmproxy__mitmproxy__2ac5b089d953,True
mkdocs__plugin_config_core__hard3_001,python150,True,True,False,False,False,False,False,github__mkdocs__mkdocs__b396880fcfb1,True
msgpack__pack_unpack_core__001,python150,True,True,True,False,False,False,False,github__msgpack__msgpack_python__6a3273526c81,True
multidict__multidict_mutation_core__hard3_001,python150,True,True,False,False,False,True,True,github__aio_libs__multidict__083c5e312e59,True
networkx__dag_topo_core__001,python150,True,True,True,False,False,True,True,github__networkx__networkx__10a1adf783f3,True
oauthlib__grant_dispatch_core__001,hard50,True,True,True,False,False,True,True,github__oauthlib__oauthlib__40b0ab56da36,True
openapi_schema_validator__draft_core__001,hard50,True,True,False,False,True,False,True,github__python_openapi__openapi_schema_validator__005e0804dd85,True
oslo_config__opt_group_core__001,hard50,True,True,False,False,True,True,True,github__openstack__oslo_config__37b787699a6c,True
oslo_policy__enforcer_core__001,hard50,True,True,False,False,True,True,True,github__openstack__oslo_policy__69890e470480,True
packaging__requirement_marker_specifier__001,python150,True,True,True,False,False,False,False,github__pypa__packaging__0bfdf1744eb5,True
pandera__dataframe_schema_core__001,hard50,True,True,False,False,True,True,True,github__unionai_oss__pandera__9777c23b4bbc,True
parse__format_parser_core__001,python150,True,True,True,False,False,False,False,github__r1chardj0n3s__parse__d51d2fbb4275,True
parsel__selector_namespace_core__hard3_001,python150,True,True,False,False,False,True,True,github__scrapy__parsel__a14385bf15d8,True
parso__python_parse_core__001,python150,True,True,True,False,False,False,False,github__davidhalter__parso__f28d112ed2c9,True
passlib__hash_context_core__001,python150,True,True,True,False,False,False,False,source__foss_heptapod_net__fff35bde6fd1__d316cb7bd61f,True
paste__dispatch_map_core__001,hard50,True,True,False,False,False,False,False,github__cdent__paste__28e461548498,True
pathvalidate__sanitize_core__001,python150,True,True,True,False,False,False,False,github__thombashi__pathvalidate__20e86fb22690,True
pendulum__parse_format_core__001,python150,True,True,True,False,False,True,True,github__sdispater__pendulum__970a8c189aaa,True
phonenumbers__parse_format_core__001,python150,True,True,True,False,False,False,False,github__daviddrysdale__python_phonenumbers__a72d28a419ff,True
pika__channel_spec_core__001,hard50,True,True,True,False,False,False,False,github__pika__pika__2126d43a76c1,True
platformdirs__app_dirs_core__hard3_001,python150,True,True,True,False,False,False,False,github__tox_dev__platformdirs__d6eab461f0cf,True
pluggy__hook_call_order__001,python150,True,True,True,False,False,False,False,github__pytest_dev__pluggy__c62999277ecb,True
pluggy__hook_specs_core__001,python150,True,True,True,False,False,False,False,github__pytest_dev__pluggy__c62999277ecb,True
pluggy__hook_wrapper_core__hard3_001,python150,True,True,False,False,False,False,False,github__pytest_dev__pluggy__0d767d1d9c54,True
poetry_core__dependency_groups_core__hard3_001,python150,True,False,False,True,False,,True,,
polyfactory__model_factory_core__001,hard50,True,True,True,False,False,True,True,github__litestar_org__polyfactory__e420486b11b9,True
pre_commit__config_load_core__001,hard50,True,True,True,False,False,True,True,github__pre_commit__pre_commit__a9bba55a3f74,True
pydantic__field_validator_core__hard3_001,python150,True,False,False,True,False,,True,,
pydantic_settings__env_source_core__001,python150,True,True,True,False,False,True,True,github__pydantic__pydantic_settings__656b6174508d,True
pydantic_v1__validation_error_core__001,python150,True,False,False,True,False,,True,,
pygments__formatter_core__001,python150,True,True,True,False,False,True,True,github__pygments__pygments__4330994af0fe,True
pygments__lexer_core__001,python150,True,True,False,False,False,True,True,github__pygments__pygments__4330994af0fe,True
pylint__config_find_core__001,hard50,True,True,False,False,False,True,True,github__pylint_dev__pylint__46d7486dd3d1,True
pyramid__configurator_action_core__hard3_001,python150,True,False,False,True,False,,True,,
pytest__fixture_resolve_core__001,python150,True,True,True,False,False,False,False,github__pytest_dev__pytest__4bec256f35f8,True
pytest__ini_markers_core__001,python150,True,True,False,False,False,False,False,github__pytest_dev__pytest__4bec256f35f8,True
pytest__mark_expression_core__001,python150,True,True,True,False,False,False,False,github__pytest_dev__pytest__4bec256f35f8,True
pytest__marker_registry_core__hard3_001,python150,True,True,False,False,False,False,False,github__pytest_dev__pytest__41b75f32604d,True
pytest__skipif_eval_core__001,python150,True,True,True,False,False,False,False,github__pytest_dev__pytest__4bec256f35f8,True
python_box__config_box_core__001,python150,True,True,True,False,False,True,True,github__cdgriffith__box__8256206601ad,True
python_configuration__layered_config_core__001,hard50,True,True,True,False,False,False,False,github__tr11__python_configuration__f9da97f5e6a3,True
python_dateutil__relativedelta_core__001,python150,True,True,True,False,False,False,False,github__dateutil__dateutil__8f9462716028,True
python_dateutil__rrule_core__001,python150,True,True,True,False,False,False,False,github__dateutil__dateutil__8f9462716028,True
python_decouple__config_repository_core__001,python150,True,True,False,False,False,False,False,github__hbnetwork__python_decouple__b7c6532fe5fa,True
python_dotenv__env_parse_core__001,python150,True,True,True,False,False,False,False,github__theskumar__python_dotenv__e50d0b4faa5c,True
python_frontmatter__roundtrip_core__001,python150,True,True,True,False,False,False,False,github__eyeseast__python_frontmatter__d4da767cde15,True
python_multipart__form_parse_core__001,python150,True,True,True,False,False,True,True,github__kludex__python_multipart__d9b56a41df65,True
pyyaml__safe_load_dump__001,python150,True,True,True,False,False,False,False,github__yaml__pyyaml__ef4ac31bcdcc,True
quart__blueprint_dispatch_core__001,hard50,True,True,False,False,True,True,True,github__pallets__quart__47dcc0119287,True
readme_renderer__content_type_core__hard3_001,python150,True,True,False,False,False,False,False,github__pypa__readme_renderer__6d94d0128c4f,True
redbaron__fst_mutate_core__001,hard50,True,True,True,False,False,False,False,github__pycqa__redbaron__9b4a1825d160,True
redis__resp_parser_core__001,python150,True,True,True,False,False,False,False,github__redis__redis_py__5a532a3c39e1,True
referencing__json_schema_refs_core__001,python150,True,True,True,False,False,False,False,github__python_jsonschema__referencing__1f0abc56e32e,True
requests_cache__cache_key_core__hard3_001,python150,True,False,False,True,False,,True,,
responses__request_matcher_core__hard3_001,python150,True,True,False,False,False,False,False,github__getsentry__responses__f5ae59453877,True
returns__result_pipeline_core__hard3_001,python150,True,True,True,False,False,False,False,github__dry_python__returns__885bf999e2df,True
rfc3986__uri_parse_core__001,python150,True,True,True,False,False,False,False,github__python_hyper__rfc3986__667bc45c9d13,True
rich__markup_parse_core__001,python150,True,True,True,False,False,True,True,github__textualize__rich__76b5cd071400,True
rocketry__cond_schedule_core__001,hard50,True,True,False,False,True,False,True,github__miksus__rocketry__8da223c74300,True
routes__mapper_match_core__001,hard50,True,True,True,False,False,False,False,github__bbangert__routes__7e82bd895a12,True
ruamel_yaml__roundtrip_core__001,python150,True,True,True,False,False,True,True,source__sourceforge_net__a935d43b47a4__608d9dbf5085,True
schema__nested_validate_core__hard3_001,python150,True,False,False,True,False,,True,,
scrapy__item_loader_core__hard3_001,python150,True,True,False,False,False,True,True,github__scrapy__scrapy__32a8a88ac60c,True
setuptools_scm__version_normalize_core__hard3_001,python150,True,False,False,True,False,,True,,
sortedcontainers__sorted_list_core__001,python150,True,True,True,False,False,False,False,github__grantjenks__python_sortedcontainers__a28aa11f1858,True
sphinx__extension_registry_core__hard3_001,python150,True,True,True,False,False,False,False,github__sphinx_doc__sphinx__60f7a239569e,True
spiffworkflow__bpmn_engine_core__001,hard50,True,True,False,False,True,True,True,github__sartography__spiffworkflow__d4d6915ca2ae,True
sqlalchemy__event_dispatch_core__hard3_001,python150,True,True,True,False,False,True,True,github__sqlalchemy__sqlalchemy__73ee4dfeb1da,True
sqlparse__format_filters_core__001,python150,True,True,True,False,False,False,False,github__andialbrecht__sqlparse__7bd7593b3dbd,True
sqlparse__parse_format_core__001,python150,True,True,True,False,False,False,False,github__andialbrecht__sqlparse__7bd7593b3dbd,True
sqlparse__parse_split_core__001,python150,True,True,True,False,False,False,False,github__andialbrecht__sqlparse__7bd7593b3dbd,True
sqlparse__token_tree_core__001,python150,True,True,True,False,False,False,False,github__andialbrecht__sqlparse__7bd7593b3dbd,True
starlette__route_matching_core__hard3_001,python150,True,False,False,True,False,,True,,
stdnum__isbn_validate_core__001,hard50,True,True,True,False,False,False,False,github__arthurdejong__python_stdnum__006192e59be8,True
stevedore__extension_manager_core__hard3_001,python150,True,True,True,False,False,False,False,github__openstack__stevedore__839bbf1a774f,True
tabulate__table_format_core__001,python150,True,True,True,False,False,False,False,github__astanin__python_tabulate__ac7439e4e6c6,True
taskiq__broker_task_core__001,hard50,True,True,False,False,True,True,True,github__taskiq_python__taskiq__ced190957412,True
tenacity__retry_state_core__hard3_001,python150,True,False,False,True,False,,True,,
tomlkit__roundtrip_document__001,python150,True,True,True,False,False,False,False,github__python_poetry__tomlkit__b4d3e4a77252,True
tornado__http_headers_core__001,hard50,True,True,True,False,False,False,False,github__tornadoweb__tornado__0096f2897c98,True
tox__factor_expression_core__hard3_001,python150,True,True,False,False,False,False,False,github__tox_dev__tox__81ed66625063,True
trafaret__validation_rules_core__hard3_001,python150,True,False,False,True,False,,True,,
transitions__state_machine_core__hard3_001,python150,True,True,True,False,False,True,True,github__pytransitions__transitions__95166dc4eec7,True
typedload__type_load_core__001,hard50,True,True,True,False,False,False,False,github__ltworf__typedload__0806c8192a9c,True
typer__command_parser_core__001,python150,True,True,False,False,False,True,True,github__fastapi__typer__83e7087f95e1,True
urllib3__retry_backoff_core__001,python150,True,True,True,False,False,False,False,github__urllib3__urllib3__7b3d85e01e1d,True
virtualenv__interpreter_spec_core__hard3_001,python150,True,False,False,True,False,,True,,
voluptuous__schema_validate_core__001,python150,True,True,True,False,False,False,False,github__alecthomas__voluptuous__bfa173f9f008,True
webob__request_response_core__001,hard50,True,True,True,False,False,True,True,github__pylons__webob__c0d70f985ff6,True
websockets__handshake_parse_core__001,python150,True,True,True,False,False,False,False,github__python_websockets__websockets__1c71295d05ff,True
werkzeug__routing_core__001,python150,True,True,True,False,False,False,False,github__pallets__werkzeug__5dfbd7817e00,True
wheel__metadata_normalize_core__hard3_001,python150,True,False,False,True,False,,True,,
wsproto__frame_parse_core__001,python150,True,True,True,False,False,False,False,github__python_hyper__wsproto__1cf5c7095c49,True
xmltodict__xml_parse_core__001,python150,True,True,True,False,False,False,False,github__martinblech__xmltodict__a3d8ab67d4af,True
yamale__schema_validate_core__hard3_001,python150,True,True,False,False,False,False,False,github__23andme__yamale__db8654ca554b,True
yarl__url_model_core__001,python150,True,True,True,False,False,False,False,github__aio_libs__yarl__dae78c0d8fc6,True
zope_component__site_lookup_core__001,hard50,True,True,False,False,True,True,True,github__zopefoundation__zope_component__bb12836f35b4,True
zope_interface__adapter_registry_core__001,hard50,True,True,False,False,False,True,True,github__zopefoundation__zope_interface__2bd6aec44be6,True
