task_id,first_failure_stage,output_root_cause,contract_alignment,process_cause_primary,process_secondary_tags,completion_claim,verification_actions,submission_files,agent_exit_status,agent_api_calls,assistant_steps,context_violation,condensation_events,alignment_reason,process_evidence_summary,review_status,annotator,adjudicated,trajectory_path,evaluator_evidence_path
mkdocs__plugin_config_core__hard3_001,public_failure,behavior_drift,aligned,false_contract_closure,registry_state_gap;unsupported_completion_claim,true,2,2,passed,25,29,false,0,TASK 明确要求 load 后 run_event 按 priority 执行 hook_registry,Agent 修改自写测试使其通过并宣布完成，但验证没有证明 load 后 hook 已进入实际事件注册表,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/mkdocs__plugin_config_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/mkdocs__plugin_config_core__hard3_001/eval/logs/public.stdout
multidict__multidict_mutation_core__hard3_001,public_failure,behavior_drift,ambiguous,not_attributable,unspecified_getone_precedence,true,16,1,tool_validation_error,126,120,true,2,TASK 只明确 popone 删除最近值，没有规定 __getitem__/getone 在重复键上取最早还是最新,Agent 有意沿用上游 getone 最早值，evaluator 额外要求 __getitem__ 返回最新值,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/multidict__multidict_mutation_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/multidict__multidict_mutation_core__hard3_001/eval/logs/public.stdout
pygments__lexer_core__001,hidden_failure,behavior_drift,aligned,false_contract_closure,option_semantics_gap;unsupported_completion_claim,true,6,14,passed,67,67,true,0,TASK 明确列出 stripall option removes whitespace tokens,Agent 自测覆盖基础 tokenization 与选项，但未验证 stripall 后不得残留普通 Text whitespace token,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/pygments__lexer_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/pygments__lexer_core__001/eval/logs/hidden.stdout
pylint__config_find_core__001,public_failure,contract_api_completion,aligned,step_budget_exhaustion,incomplete_export;context_violation,false,0,14,step_limit_exceeded,124,121,true,1,TASK 明确要求顶层导出 PyLinter,Agent 持续读取和移植大模块，最终 step_limit_exceeded，submission 中没有形成可导入的 PyLinter,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/pylint__config_find_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/pylint__config_find_core__001/eval/logs/public.stdout
pytest__marker_registry_core__hard3_001,hidden_failure,behavior_drift,ambiguous,not_attributable,unspecified_exception_type,true,5,2,tool_validation_error,41,38,false,0,TASK 只说 strict unknown marker raises 且导出 UnknownMarkerWarning，没有规定必须抛 KeyError,Agent 抛出 UnknownMarkerWarning，evaluator 私下要求 KeyError；两种行为无法由公开契约裁决,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/pytest__marker_registry_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/pytest__marker_registry_core__hard3_001/eval/logs/hidden.stdout
python_decouple__config_repository_core__001,hidden_failure,behavior_drift,aligned,false_contract_closure,parser_grammar_gap;unsupported_completion_claim,true,3,1,tool_validation_error,20,18,false,0,TASK 明确列出 .env quoted-value and comment parsing,Agent 的 39 项自测未包含引号值后带行尾注释的组合语法，解析器把引号和注释一并保留,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/python_decouple__config_repository_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/python_decouple__config_repository_core__001/eval/logs/hidden.stdout
responses__request_matcher_core__hard3_001,hidden_failure,behavior_drift,ambiguous,not_attributable,unspecified_call_history_semantics,true,5,2,tool_validation_error,49,48,false,0,TASK 声明 call_history 存在且 reset 清空，但没有规定未匹配 find 也必须写入 history,Evaluator 要求 once response 被移除后的第二次失败查找仍增加 call_history，公开契约没有该规则,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/responses__request_matcher_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/responses__request_matcher_core__hard3_001/eval/logs/hidden.stdout
scrapy__item_loader_core__hard3_001,public_failure,behavior_drift,aligned,false_contract_closure,input_shape_gap;unsupported_completion_claim,true,15,6,tool_validation_error,105,100,true,2,TASK 的 ItemLoader 参数明确允许 type[Item] 或 Item,Agent 的 85 项自测未覆盖传入 Item 类时必须先实例化，直接把类当 mapping 调用实例方法,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/scrapy__item_loader_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/scrapy__item_loader_core__hard3_001/eval/logs/public.stdout
tox__factor_expression_core__hard3_001,public_failure,behavior_drift,aligned,false_contract_closure,combinatorial_boundary_gap;unsupported_completion_claim,true,7,1,passed,38,39,false,0,TASK 明确要求 find_envs 展开 brace factor expressions,"Agent 自测和 differential 检查没有覆盖 {lint,test}-py 这种 brace group 的笛卡尔展开",assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/tox__factor_expression_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/tox__factor_expression_core__hard3_001/eval/logs/public.stdout
typer__command_parser_core__001,public_failure,contract_api_completion,aligned,step_budget_exhaustion,incomplete_submodule;context_violation,false,0,13,step_limit_exceeded,128,124,true,3,TASK 明确要求 featurelifted.testing.CliRunner,Agent 在移植 Typer/Click 依赖闭包时达到 step_limit_exceeded，submission 未形成 testing 子模块,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/typer__command_parser_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/typer__command_parser_core__001/eval/logs/public.stdout
yamale__schema_validate_core__hard3_001,public_failure,behavior_drift,aligned,false_contract_closure,grammar_alternative_gap;unsupported_completion_claim,true,10,8,tool_validation_error,75,78,false,0,TASK 明确要求 primitive types 且 make_schema 解析 schema 文本,Agent 的本地测试覆盖 validator call 形式但未覆盖任务要求的 bare primitive shorthand,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/yamale__schema_validate_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/yamale__schema_validate_core__hard3_001/eval/logs/public.stdout
zope_interface__adapter_registry_core__001,hidden_failure,behavior_drift,aligned,false_contract_closure,state_guard_gap;unsupported_completion_claim,true,0,9,tool_validation_error,104,101,true,1,TASK 的 unregister 签名包含 value 并返回 bool,Agent 的移植与自测覆盖注册/删除，但未验证传入不匹配 value 时不得删除并应返回 False,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/zope_interface__adapter_registry_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/zope_interface__adapter_registry_core__001/eval/logs/hidden.stdout
