model,task_id,functional_pass,first_failure_stage,run_directory,run_json_exists,events_path,events_present_nonempty
deepseek-v4-pro,cerberus__schema_validate_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/cerberus__schema_validate_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/cerberus__schema_validate_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,chameleon__template_compile_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/chameleon__template_compile_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/chameleon__template_compile_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,click__lazy_command_core__hard3_001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/click__lazy_command_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/click__lazy_command_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,click__option_parser__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/click__option_parser__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/click__option_parser__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,configobj__roundtrip_config_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/configobj__roundtrip_config_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/configobj__roundtrip_config_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,cookiecutter__repo_finder_core__hard3_001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/cookiecutter__repo_finder_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/cookiecutter__repo_finder_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,coverage__config_merge_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/coverage__config_merge_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/coverage__config_merge_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,coverage__glob_matcher_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/coverage__glob_matcher_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/coverage__glob_matcher_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,coverage__path_remap_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/coverage__path_remap_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/coverage__path_remap_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,coverage__report_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/coverage__report_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/coverage__report_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,coverage__source_selection_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/coverage__source_selection_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/coverage__source_selection_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,croniter__cron_parse_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/croniter__cron_parse_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/croniter__cron_parse_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,dataclasses_json__serde_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/dataclasses_json__serde_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/dataclasses_json__serde_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,dateutil__zone_resolver_core__hard3_001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/dateutil__zone_resolver_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/dateutil__zone_resolver_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,decorator__signature_preserving_core__001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/decorator__signature_preserving_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/decorator__signature_preserving_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,deepdiff__deep_compare_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/deepdiff__deep_compare_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/deepdiff__deep_compare_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,diskcache__eviction_policy_core__hard3_001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/diskcache__eviction_policy_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/diskcache__eviction_policy_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,distlib__wheel_metadata_core__hard3_001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/distlib__wheel_metadata_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/distlib__wheel_metadata_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,dynaconf__settings_merge_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/dynaconf__settings_merge_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/dynaconf__settings_merge_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,email_validator__validate_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/email_validator__validate_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/email_validator__validate_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,environs__typed_env_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/environs__typed_env_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/environs__typed_env_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,faker__provider_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/faker__provider_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/faker__provider_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,filelock__reentrant_lock_core__001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/filelock__reentrant_lock_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/filelock__reentrant_lock_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,flake8__plugin_options_core__hard3_001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/flake8__plugin_options_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/flake8__plugin_options_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,flask__route_dispatch_core__001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/flask__route_dispatch_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/flask__route_dispatch_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,fs__url_opener_core__hard3_001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/fs__url_opener_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/fs__url_opener_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,fsspec__url_chain_core__hard3_001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/fsspec__url_chain_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/fsspec__url_chain_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,glom__spec_eval_core__hard3_001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/glom__spec_eval_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/glom__spec_eval_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,h11__message_parse_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/h11__message_parse_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/h11__message_parse_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,h2__frame_parse_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/h2__frame_parse_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/h2__frame_parse_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,hatch__project_metadata_core__hard3_001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/hatch__project_metadata_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/hatch__project_metadata_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,httpx__request_model_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/httpx__request_model_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/httpx__request_model_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,humanize__naturaltime_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/humanize__naturaltime_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/humanize__naturaltime_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,importlib_metadata__entry_points_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/importlib_metadata__entry_points_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/importlib_metadata__entry_points_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,importlib_resources__traversable_tree_core__hard3_001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/importlib_resources__traversable_tree_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/importlib_resources__traversable_tree_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,installer__wheel_record_core__hard3_001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/installer__wheel_record_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/installer__wheel_record_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,intervaltree__interval_tree_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/intervaltree__interval_tree_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/intervaltree__interval_tree_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,isodate__duration_parse_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/isodate__duration_parse_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/isodate__duration_parse_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,isort__settings_resolver_core__hard3_001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/isort__settings_resolver_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/isort__settings_resolver_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,itsdangerous__timed_serializer_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/itsdangerous__timed_serializer_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/itsdangerous__timed_serializer_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,jinja2__compile_render_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jinja2__compile_render_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jinja2__compile_render_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,jinja2__extensions_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jinja2__extensions_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jinja2__extensions_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,jinja2__filters_tests_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jinja2__filters_tests_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jinja2__filters_tests_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,jinja2__lexer_parser_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jinja2__lexer_parser_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jinja2__lexer_parser_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,jinja2__loader_inheritance_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jinja2__loader_inheritance_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jinja2__loader_inheritance_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,json5__parse_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/json5__parse_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/json5__parse_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,json_logic__evaluator_core__hard3_001,False,hidden_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/json_logic__evaluator_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/json_logic__evaluator_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,jsonpath_ng__expression_eval_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jsonpath_ng__expression_eval_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jsonpath_ng__expression_eval_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,jsonpointer__resolve_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jsonpointer__resolve_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jsonpointer__resolve_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,jsonschema__validator_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jsonschema__validator_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jsonschema__validator_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,jupyter_core__paths_resolver_core__hard3_001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jupyter_core__paths_resolver_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jupyter_core__paths_resolver_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,jupyter_server__extension_config_core__hard3_001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jupyter_server__extension_config_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jupyter_server__extension_config_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,keyring__backend_select_core__hard3_001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/keyring__backend_select_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/keyring__backend_select_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,lark__grammar_loader_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/lark__grammar_loader_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/lark__grammar_loader_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,lark__parse_tree_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/lark__parse_tree_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/lark__parse_tree_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,lark__visitor_transform_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/lark__visitor_transform_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/lark__visitor_transform_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,license_expression__policy_core__hard3_001,False,hidden_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/license_expression__policy_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/license_expression__policy_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,mako__lexer_expression_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/mako__lexer_expression_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/mako__lexer_expression_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,markdown__extensions_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/markdown__extensions_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/markdown__extensions_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,markdown_it__commonmark_render__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/markdown_it__commonmark_render__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/markdown_it__commonmark_render__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,marshmallow__schema_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/marshmallow__schema_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/marshmallow__schema_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,mkdocs__plugin_config_core__hard3_001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/mkdocs__plugin_config_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/mkdocs__plugin_config_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,msgpack__pack_unpack_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/msgpack__pack_unpack_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/msgpack__pack_unpack_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,multidict__multidict_mutation_core__hard3_001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/multidict__multidict_mutation_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/multidict__multidict_mutation_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,networkx__dag_topo_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/networkx__dag_topo_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/networkx__dag_topo_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,packaging__requirement_marker_specifier__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/packaging__requirement_marker_specifier__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/packaging__requirement_marker_specifier__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,parse__format_parser_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/parse__format_parser_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/parse__format_parser_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,parsel__selector_namespace_core__hard3_001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/parsel__selector_namespace_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/parsel__selector_namespace_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,parso__python_parse_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/parso__python_parse_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/parso__python_parse_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,passlib__hash_context_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/passlib__hash_context_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/passlib__hash_context_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,pathvalidate__sanitize_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/pathvalidate__sanitize_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/pathvalidate__sanitize_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,pendulum__parse_format_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/pendulum__parse_format_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/pendulum__parse_format_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,phonenumbers__parse_format_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/phonenumbers__parse_format_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/phonenumbers__parse_format_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,platformdirs__app_dirs_core__hard3_001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/platformdirs__app_dirs_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/platformdirs__app_dirs_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,pluggy__hook_call_order__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/pluggy__hook_call_order__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/pluggy__hook_call_order__001/agent/openhands_events.jsonl,True
