model,task_id,first_failure_stage,entrypoint_explicit_read,evidence_eligibility,root_cause_primary
deepseek-v4-pro,python_decouple__config_repository_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,requests_cache__cache_key_core__hard3_001,hidden_failure,1,valid_agent_evidence,dependency_closure
deepseek-v4-pro,responses__request_matcher_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,schema__nested_validate_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,scrapy__item_loader_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,starlette__route_matching_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,tox__factor_expression_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,virtualenv__interpreter_spec_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,aiohttp__url_params_core__hard3_001,public_failure,1,valid_agent_evidence,contract_api_completion
glm-5.3-flash,arrow__parse_format_core__001,public_failure,1,valid_agent_evidence,contract_api_completion
glm-5.3-flash,celery__signal_dispatch_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,click__lazy_command_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,cookiecutter__repo_finder_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,coverage__report_core__001,public_failure,1,valid_agent_evidence,contract_api_completion
glm-5.3-flash,coverage__source_selection_core__001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,dateutil__zone_resolver_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,decorator__signature_preserving_core__001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,distlib__wheel_metadata_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,filelock__reentrant_lock_core__001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,flask__route_dispatch_core__001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,fs__url_opener_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,fsspec__url_chain_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,installer__wheel_record_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,itsdangerous__timed_serializer_core__001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,jinja2__lexer_parser_core__001,public_failure,1,valid_agent_evidence,contract_api_completion
glm-5.3-flash,json_logic__evaluator_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,jupyter_core__paths_resolver_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,keyring__backend_select_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,lark__visitor_transform_core__001,public_failure,1,valid_agent_evidence,dependency_closure
glm-5.3-flash,license_expression__policy_core__hard3_001,public_failure,1,valid_agent_evidence,contract_api_completion
glm-5.3-flash,mkdocs__plugin_config_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,multidict__multidict_mutation_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,parsel__selector_namespace_core__hard3_001,public_failure,1,valid_agent_evidence,contract_api_completion
glm-5.3-flash,pluggy__hook_wrapper_core__hard3_001,public_failure,1,benchmark_invalid_candidate,task_or_evaluator_defect
glm-5.3-flash,poetry_core__dependency_groups_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,pygments__lexer_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,pytest__fixture_resolve_core__001,public_failure,1,valid_agent_evidence,contract_api_completion
glm-5.3-flash,pytest__marker_registry_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,pytest__skipif_eval_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,python_decouple__config_repository_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,readme_renderer__content_type_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,requests_cache__cache_key_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,responses__request_matcher_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
glm-5.3-flash,scrapy__item_loader_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,alembic__revision_map_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,apscheduler__cron_trigger_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,astroid__nodes_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,celery__signal_dispatch_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,cerberus__schema_validate_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,click__lazy_command_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,decorator__signature_preserving_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,email_validator__validate_core__001,public_failure,1,valid_agent_evidence,contract_api_completion
gpt-5.6-luna,filelock__reentrant_lock_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,flake8__plugin_options_core__hard3_001,public_failure,1,benchmark_invalid_candidate,task_or_evaluator_defect
gpt-5.6-luna,flask__route_dispatch_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,fs__url_opener_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,installer__wheel_record_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,jinja2__extensions_core__001,public_failure,1,valid_agent_evidence,contract_api_completion
gpt-5.6-luna,jupyter_core__paths_resolver_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,jupyter_server__extension_config_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,keyring__backend_select_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,license_expression__policy_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,mkdocs__plugin_config_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,multidict__multidict_mutation_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,parsel__selector_namespace_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,pluggy__hook_wrapper_core__hard3_001,public_failure,1,benchmark_invalid_candidate,task_or_evaluator_defect
gpt-5.6-luna,poetry_core__dependency_groups_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,pytest__ini_markers_core__001,public_failure,1,benchmark_invalid_candidate,task_or_evaluator_defect
gpt-5.6-luna,python_decouple__config_repository_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,readme_renderer__content_type_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,requests_cache__cache_key_core__hard3_001,hidden_failure,1,valid_agent_evidence,dependency_closure
gpt-5.6-luna,scrapy__item_loader_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,sqlparse__format_filters_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,starlette__route_matching_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,tox__factor_expression_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,virtualenv__interpreter_spec_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-5.6-luna,yamale__schema_validate_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,alembic__revision_map_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,arrow__parse_format_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,babel__plural_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,bleach__sanitize_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,celery__signal_dispatch_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,cerberus__schema_validate_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,click__lazy_command_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,cookiecutter__repo_finder_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,coverage__config_merge_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,coverage__report_core__001,public_failure,1,valid_agent_evidence,dependency_closure
gpt-oss-120b,coverage__source_selection_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,dataclasses_json__serde_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,dateutil__zone_resolver_core__hard3_001,hidden_failure,1,valid_agent_evidence,dependency_closure
gpt-oss-120b,decorator__signature_preserving_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,deepdiff__deep_compare_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,dynaconf__settings_merge_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,filelock__reentrant_lock_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,flake8__plugin_options_core__hard3_001,public_failure,1,benchmark_invalid_candidate,task_or_evaluator_defect
gpt-oss-120b,fs__url_opener_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,fsspec__url_chain_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,glom__spec_eval_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,httpx__request_model_core__001,public_failure,1,valid_agent_evidence,contract_api_completion
gpt-oss-120b,importlib_metadata__entry_points_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,importlib_resources__traversable_tree_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,installer__wheel_record_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,intervaltree__interval_tree_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,isort__settings_resolver_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,jinja2__lexer_parser_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,json5__parse_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,jupyter_core__paths_resolver_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,jupyter_server__extension_config_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,keyring__backend_select_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,lark__visitor_transform_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,license_expression__policy_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,mkdocs__plugin_config_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,multidict__multidict_mutation_core__hard3_001,public_failure,1,valid_agent_evidence,contract_api_completion
gpt-oss-120b,networkx__dag_topo_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,parse__format_parser_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,parsel__selector_namespace_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,pathvalidate__sanitize_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,platformdirs__app_dirs_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,pluggy__hook_wrapper_core__hard3_001,public_failure,1,benchmark_invalid_candidate,task_or_evaluator_defect
gpt-oss-120b,poetry_core__dependency_groups_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,pydantic_settings__env_source_core__001,public_failure,1,valid_agent_evidence,packaging_modularization
gpt-oss-120b,pytest__fixture_resolve_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,pytest__marker_registry_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,python_box__config_box_core__001,hidden_failure,1,valid_agent_evidence,contract_api_completion
gpt-oss-120b,python_decouple__config_repository_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,redis__resp_parser_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,referencing__json_schema_refs_core__001,public_failure,1,valid_agent_evidence,contract_api_completion
gpt-oss-120b,requests_cache__cache_key_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,responses__request_matcher_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,scrapy__item_loader_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,sortedcontainers__sorted_list_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,sqlparse__format_filters_core__001,public_failure,1,valid_agent_evidence,unknown
gpt-oss-120b,sqlparse__parse_split_core__001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,starlette__route_matching_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,stevedore__extension_manager_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,transitions__state_machine_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,typer__command_parser_core__001,public_failure,1,valid_agent_evidence,contract_api_completion
gpt-oss-120b,urllib3__retry_backoff_core__001,hidden_failure,1,valid_agent_evidence,dependency_closure
gpt-oss-120b,virtualenv__interpreter_spec_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,voluptuous__schema_validate_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,wheel__metadata_normalize_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,xmltodict__xml_parse_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
gpt-oss-120b,yarl__url_model_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,alembic__revision_map_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,apscheduler__cron_trigger_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,arrow__parse_format_core__001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,astroid__nodes_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,celery__signal_dispatch_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,cerberus__schema_validate_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,click__lazy_command_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,cookiecutter__repo_finder_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,coverage__report_core__001,public_failure,1,valid_agent_evidence,contract_api_completion
qwen3.6-35b-a3b-fp8,coverage__source_selection_core__001,public_failure,1,valid_agent_evidence,packaging_modularization
qwen3.6-35b-a3b-fp8,dateutil__zone_resolver_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,decorator__signature_preserving_core__001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,dynaconf__settings_merge_core__001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,faker__provider_core__001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,flake8__plugin_options_core__hard3_001,public_failure,1,benchmark_invalid_candidate,task_or_evaluator_defect
qwen3.6-35b-a3b-fp8,flask__route_dispatch_core__001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,fs__url_opener_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,fsspec__url_chain_core__hard3_001,hidden_failure,1,valid_agent_evidence,dependency_closure
qwen3.6-35b-a3b-fp8,glom__spec_eval_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,importlib_resources__traversable_tree_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,installer__wheel_record_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,itsdangerous__timed_serializer_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,jinja2__lexer_parser_core__001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,json_logic__evaluator_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,jupyter_core__paths_resolver_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,jupyter_server__extension_config_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,license_expression__policy_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,mako__lexer_expression_core__001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,multidict__multidict_mutation_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,passlib__hash_context_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,poetry_core__dependency_groups_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,pygments__formatter_core__001,public_failure,1,valid_agent_evidence,contract_api_completion
qwen3.6-35b-a3b-fp8,pytest__ini_markers_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,pytest__marker_registry_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,python_decouple__config_repository_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,requests_cache__cache_key_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,responses__request_matcher_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,schema__nested_validate_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,sortedcontainers__sorted_list_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,starlette__route_matching_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,tabulate__table_format_core__001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,typer__command_parser_core__001,public_failure,1,valid_agent_evidence,behavior_drift
qwen3.6-35b-a3b-fp8,yarl__url_model_core__001,public_failure,1,valid_agent_evidence,behavior_drift
