task_id,model,split,lift_type,feature_family,evidence_eligibility,functional_pass,first_failure_stage,root_cause_primary,secondary_tags,contract_clause_ids,context_violation,evidence_summary,evidence_path,review_status,annotator,adjudicated,independent_human_review,validity_override,validity_reason,close_read_tier
hatch__project_metadata_core__hard3_001,deepseek-v4-pro,python150,Adapted,resource_metadata_loading,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_normalization_rule,,False,Failure is hyphenation beyond the published lowercase-name rule; excluded from the agent-cause denominator.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/hatch__project_metadata_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,B001 requires lowercasing names; the public test additionally requires space-to-hyphen canonicalization (my package vs my-package).,L1
json_logic__evaluator_core__hard3_001,deepseek-v4-pro,python150,Direct,cache_retry_policy,valid_agent_evidence,false,hidden_failure,contract_api_completion,state_lifecycle;validation_boundary,B003,False,Logical conjunction does not short-circuit; a later failing operand is still evaluated and raises ZeroDivisionError.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/json_logic__evaluator_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
jupyter_core__paths_resolver_core__hard3_001,deepseek-v4-pro,python150,Adapted,config_resolve_discover,valid_agent_evidence,false,public_failure,behavior_drift,platform_path,B002,False,Platform data-dir defaults join a Windows layout onto the current POSIX runtime instead of returning the declared Windows path.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/jupyter_core__paths_resolver_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
keyring__backend_select_core__hard3_001,deepseek-v4-pro,python150,Composite,registry_plugin_dispatch,valid_agent_evidence,false,public_failure,behavior_drift,ordering_precedence;registry_dispatch,B006;B007,False,select_backend returns the highest-priority backend class rather than an instance of that class.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/keyring__backend_select_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
license_expression__policy_core__hard3_001,deepseek-v4-pro,python150,Direct,parse_tokenize_decode,valid_agent_evidence,false,hidden_failure,behavior_drift,return_value;validation_boundary,B001;B003,True,Unknown-symbol validation reports 'license key(s)' instead of the clause wording 'license symbol'.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/license_expression__policy_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
mkdocs__plugin_config_core__hard3_001,deepseek-v4-pro,python150,Composite,registry_plugin_dispatch,valid_agent_evidence,false,public_failure,behavior_drift,registry_dispatch;argument_binding,B002,False,"PluginCollection exists and records names, but load looks up hook_registry by plugin name and expects on_* methods; the public registry uses dotted event keys, so run_event returns [].",experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/mkdocs__plugin_config_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
multidict__multidict_mutation_core__hard3_001,deepseek-v4-pro,python150,Direct,algorithm_data_structure,valid_agent_evidence,false,public_failure,behavior_drift,data_structure_semantics;ordering_precedence,B001;B002,False,Duplicate-key MultiDict mutation/getall order does not match the required latest-wins or getall contract.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/multidict__multidict_mutation_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
parsel__selector_namespace_core__hard3_001,deepseek-v4-pro,python150,Adapted,parse_tokenize_decode,valid_agent_evidence,false,public_failure,behavior_drift,parsing_normalization;return_value,B001,True,Selector.css/get surface exists but CSS id selection does not return the required node text.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/parsel__selector_namespace_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
platformdirs__app_dirs_core__hard3_001,deepseek-v4-pro,python150,Adapted,config_resolve_discover,valid_agent_evidence,false,public_failure,behavior_drift,platform_path,B005;B006,False,Windows author/roaming/cache layout uses POSIX separators or a different vendor/app nesting than the declared layout.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/platformdirs__app_dirs_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
pluggy__hook_wrapper_core__hard3_001,deepseek-v4-pro,python150,Adapted,registry_plugin_dispatch,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_api,,False,First failure is an evaluator call to undeclared call_historic; excluded from the agent-cause denominator.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/pluggy__hook_wrapper_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,"Public test calls HookCaller.call_historic; required_api only lists add_hookimpl, call_extra, and get_hookimpls.",L1
poetry_core__dependency_groups_core__hard3_001,deepseek-v4-pro,python150,Composite,resource_metadata_loading,valid_agent_evidence,false,public_failure,behavior_drift,parsing_normalization,B002;B003,False,"Trajectory inspects poetry-core; parse_project_dependencies still reads PEP 735 dependency-groups and returns {}, while the public input uses project.dependencies and optional-dependencies.",experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/poetry_core__dependency_groups_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
pygments__lexer_core__001,deepseek-v4-pro,python150,Direct,parse_tokenize_decode,valid_agent_evidence,false,hidden_failure,behavior_drift,tokenization,B004,True,Lexer option that should drop whitespace tokens still emits ordinary text tokens.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/pygments__lexer_core__001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
pytest__ini_markers_core__001,deepseek-v4-pro,python150,Composite,config_resolve_discover,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_normalization_rule,,False,First failure is description leading-space; that contradicts the published preserve-whitespace clause.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/pytest__ini_markers_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,B003 requires preserving description whitespace after the colon; the public test requires the description to be stripped.,L1
pytest__marker_registry_core__hard3_001,deepseek-v4-pro,python150,Composite,registry_plugin_dispatch,valid_agent_evidence,false,hidden_failure,behavior_drift,exception_semantics,B003,False,Strict unknown-marker handling emits a warning instead of the declared exception type.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/pytest__marker_registry_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
python_decouple__config_repository_core__001,deepseek-v4-pro,python150,Adapted,config_resolve_discover,valid_agent_evidence,false,hidden_failure,behavior_drift,parsing_normalization,B001;B002;B003;B004,False,.env parsing does not strip quotes or trailing comments to the normalized values required by the public clauses.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/python_decouple__config_repository_core__001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
readme_renderer__content_type_core__hard3_001,deepseek-v4-pro,python150,Adapted,serialize_format_render,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_output_marker,,False,"Failure is an undeclared output-marker check, not a missing renderer selection.",experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/readme_renderer__content_type_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,B001 only requires selecting a markdown renderer; the public test asserts the literal substring markdown appears in HTML for a heading that already rendered as h1.,L1
requests_cache__cache_key_core__hard3_001,deepseek-v4-pro,python150,Composite,cache_retry_policy,valid_agent_evidence,false,hidden_failure,behavior_drift,parsing_normalization;data_structure_semantics,B005,True,"Header multi-value normalization looks up a header name that is not present under the expected case/key, so cache-key construction raises KeyError.",experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/requests_cache__cache_key_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
responses__request_matcher_core__hard3_001,deepseek-v4-pro,python150,Composite,registry_plugin_dispatch,valid_agent_evidence,false,hidden_failure,behavior_drift,state_lifecycle;registry_dispatch,B002;B003,True,Once-matcher hit count or call history after the first match does not follow the required matcher lifecycle.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/responses__request_matcher_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
schema__nested_validate_core__hard3_001,deepseek-v4-pro,python150,Adapted,validate_normalize_construct,valid_agent_evidence,false,hidden_failure,behavior_drift,parsing_normalization;return_value,B003,False,And composition does not apply a callable transform; a string that should be uppercased is returned unchanged.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/schema__nested_validate_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
scrapy__item_loader_core__hard3_001,deepseek-v4-pro,python150,Adapted,registry_plugin_dispatch,valid_agent_evidence,false,public_failure,behavior_drift,call_signature;argument_binding,B002;B003,False,ItemLoader treats an item class or list as an instantiated mapping and then fails inside processor application; default_output_processor is also missing.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/scrapy__item_loader_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
setuptools_scm__version_normalize_core__hard3_001,deepseek-v4-pro,python150,Adapted,resource_metadata_loading,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_normalization_rule;default_values,,False,Public exact 1.2.3 clashes with the published default node plus B003 local segment; excluded from the agent-cause denominator.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/setuptools_scm__version_normalize_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,required_api defaults node to g1234567 and B003 requires a local segment when node is present; the public test omits node and asserts a clean 1.2.3.,L1
starlette__route_matching_core__hard3_001,deepseek-v4-pro,python150,Adapted,registry_plugin_dispatch,valid_agent_evidence,false,hidden_failure,behavior_drift,return_value;call_signature,B002;B003,False,Route/Mount matching or url_path_for binding does not implement the required method-mismatch or mount-prefix calling convention.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/starlette__route_matching_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
tox__factor_expression_core__hard3_001,deepseek-v4-pro,python150,Adapted,parse_tokenize_decode,valid_agent_evidence,false,public_failure,behavior_drift,parsing_normalization,B001;B003,False,Factor expressions with brace groups expand to an empty env set instead of the cartesian env names.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/tox__factor_expression_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
virtualenv__interpreter_spec_core__hard3_001,deepseek-v4-pro,python150,Adapted,parse_tokenize_decode,valid_agent_evidence,false,public_failure,behavior_drift,resource_loading;platform_path,,True,parse_spec treats a glob path as a constraint instead of returning constraint=None and filtering discover_paths.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/virtualenv__interpreter_spec_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
yamale__schema_validate_core__hard3_001,deepseek-v4-pro,python150,Adapted,validate_normalize_construct,valid_agent_evidence,false,public_failure,behavior_drift,parsing_normalization;validation_boundary,B001;B004,True,Schema parser rejects the required shorthand validator expression (Name.func / enclosed-validator path).,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/yamale__schema_validate_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
aiohttp__url_params_core__hard3_001,deepseek-v4-flash,python150,Adapted,validate_normalize_construct,valid_agent_evidence,false,hidden_failure,contract_api_completion,validation_boundary;exception_semantics,B003,True,"InvalidHeaderName and a token check exist, but a hidden invalid-name case still does not raise the declared exception.",experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/aiohttp__url_params_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
alembic__revision_map_core__hard3_001,deepseek-v4-flash,python150,Adapted,algorithm_data_structure,valid_agent_evidence,false,public_failure,behavior_drift,state_lifecycle;data_structure_semantics,B003;B007,True,"Merge head lookup succeeds, but get_revision('base') resolves the symbolic base and returns None, shadowing the revision whose id is base.",experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/alembic__revision_map_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
bleach__sanitize_core__001,deepseek-v4-flash,python150,Adapted,validate_normalize_construct,valid_agent_evidence,false,hidden_failure,packaging_modularization,packaging_export,B006,False,"Public behavior passed and the isolation gate passed, but submitted source still contains a forbidden import of the original package name (public isolation clause B006).",experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/bleach__sanitize_core__001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
build__pyproject_backend_core__hard3_001,deepseek-v4-flash,python150,Adapted,validate_normalize_construct,valid_agent_evidence,false,public_failure,behavior_drift,default_values,B001,False,Missing build-system table uses a legacy backend string instead of the required default backend.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/build__pyproject_backend_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
celery__signal_dispatch_core__hard3_001,deepseek-v4-flash,python150,Adapted,registry_plugin_dispatch,valid_agent_evidence,false,public_failure,behavior_drift,validation_boundary;call_signature,B001,False,"Signal connect rejects an ordinary callable that does not accept keyword arguments, so send never reaches the receiver.",experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/celery__signal_dispatch_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
click__lazy_command_core__hard3_001,deepseek-v4-flash,python150,Adapted,registry_plugin_dispatch,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_api,,True,First failure is an evaluator call to undeclared invoke; not attributed as an agent closure miss.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/click__lazy_command_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,"Public test calls LazyCommandCollection.invoke, which is absent from required_api and from B003/B004 (get_command/resolve only).",L1
cookiecutter__repo_finder_core__hard3_001,deepseek-v4-flash,python150,Composite,config_resolve_discover,valid_agent_evidence,false,public_failure,behavior_drift,parsing_normalization,B001,False,Abbreviation expansion raises IndexError on a multi-placeholder template instead of returning a complete path.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/cookiecutter__repo_finder_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
dateutil__zone_resolver_core__hard3_001,deepseek-v4-flash,python150,Composite,resource_metadata_loading,valid_agent_evidence,false,hidden_failure,contract_api_completion,state_lifecycle,B003,True,Zone aliases can be registered but load does not resolve an alias to the canonical zone.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/dateutil__zone_resolver_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
decorator__signature_preserving_core__001,deepseek-v4-flash,python150,Direct,workflow_session_orchestration,valid_agent_evidence,false,public_failure,behavior_drift,argument_binding;call_signature,B001;B002,False,Decorator keeps metadata but forwards a different args/kwargs shape than the wrapped call.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/decorator__signature_preserving_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
filelock__reentrant_lock_core__001,deepseek-v4-flash,python150,Adapted,workflow_session_orchestration,valid_agent_evidence,false,public_failure,behavior_drift,state_lifecycle,B002;B004,False,"After the context manager exits, is_locked is false but the lock file is left on disk.",experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/filelock__reentrant_lock_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
flake8__plugin_options_core__hard3_001,deepseek-v4-flash,python150,Composite,registry_plugin_dispatch,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_api,,True,First failure uses undeclared OptionManager.register_options / dict options lookup; excluded from the agent-cause denominator.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/flake8__plugin_options_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,"Public test calls OptionManager.register_options and options[dest]; required_api lists OptionManager with no members, and B001 only says to register options.",L1
flask__route_dispatch_core__001,deepseek-v4-flash,python150,Adapted,registry_plugin_dispatch,valid_agent_evidence,false,public_failure,behavior_drift,return_value,B003,True,View returns a dict; Response normalization does not accept dict as a valid response type.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/flask__route_dispatch_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
glom__spec_eval_core__hard3_001,deepseek-v4-flash,python150,Adapted,algorithm_data_structure,valid_agent_evidence,false,hidden_failure,behavior_drift,default_values;return_value,B002,True,Coalesce/default spec evaluation returns a different defaulted value than the required spec semantics.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/glom__spec_eval_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
hatch__project_metadata_core__hard3_001,deepseek-v4-flash,python150,Adapted,resource_metadata_loading,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_normalization_rule,,True,Failure is hyphenation beyond the published lowercase-name rule; excluded from the agent-cause denominator.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/hatch__project_metadata_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,B001 requires lowercasing names; the public test additionally requires space-to-hyphen canonicalization (my package vs my-package).,L1
installer__wheel_record_core__hard3_001,deepseek-v4-flash,python150,Adapted,resource_metadata_loading,valid_agent_evidence,false,hidden_failure,contract_api_completion,validation_boundary;exception_semantics,B002,False,Submission locates dist-info but does not raise the declared error when multiple dist-info candidates are present.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/installer__wheel_record_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
jupyter_core__paths_resolver_core__hard3_001,deepseek-v4-flash,python150,Adapted,config_resolve_discover,valid_agent_evidence,false,public_failure,behavior_drift,platform_path,B002,True,Platform data-dir defaults join a Windows layout onto the current POSIX runtime instead of returning the declared Windows path.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/jupyter_core__paths_resolver_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
jupyter_server__extension_config_core__hard3_001,deepseek-v4-flash,python150,Composite,registry_plugin_dispatch,valid_agent_evidence,false,hidden_failure,behavior_drift,ordering_precedence;state_lifecycle,B001;B002,False,Extension enable/disable precedence leaves a disabled extension still enabled in the merged config.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/jupyter_server__extension_config_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
keyring__backend_select_core__hard3_001,deepseek-v4-flash,python150,Composite,registry_plugin_dispatch,valid_agent_evidence,false,public_failure,behavior_drift,registry_dispatch;name_resolution,B006;B007,True,Env override with a registered backend name raises BackendNotFound instead of selecting that candidate.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/keyring__backend_select_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
license_expression__policy_core__hard3_001,deepseek-v4-flash,python150,Direct,parse_tokenize_decode,valid_agent_evidence,false,hidden_failure,behavior_drift,return_value;validation_boundary,B001;B003,True,Unknown-symbol validation reports 'license key(s)' instead of the clause wording 'license symbol'.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/license_expression__policy_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
mkdocs__plugin_config_core__hard3_001,deepseek-v4-flash,python150,Composite,registry_plugin_dispatch,valid_agent_evidence,false,public_failure,behavior_drift,registry_dispatch;argument_binding,B002,True,"PluginCollection exists and records names, but load looks up hook_registry by plugin name and expects on_* methods; the public registry uses dotted event keys, so run_event returns [].",experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/mkdocs__plugin_config_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
multidict__multidict_mutation_core__hard3_001,deepseek-v4-flash,python150,Direct,algorithm_data_structure,valid_agent_evidence,false,public_failure,behavior_drift,data_structure_semantics;ordering_precedence,B001;B002,True,Duplicate-key MultiDict mutation/getall order does not match the required latest-wins or getall contract.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/multidict__multidict_mutation_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
parsel__selector_namespace_core__hard3_001,deepseek-v4-flash,python150,Adapted,parse_tokenize_decode,valid_agent_evidence,false,public_failure,behavior_drift,parsing_normalization;return_value,B001,True,Selector.css/get surface exists but CSS id selection does not return the required node text.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/parsel__selector_namespace_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
pendulum__parse_format_core__001,deepseek-v4-flash,python150,Adapted,parse_tokenize_decode,valid_agent_evidence,false,public_failure,contract_api_completion,api_surface;call_signature,B004,True,"featurelifted.datetime is a module, not a callable constructor, so token formatting cannot be invoked.",experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/pendulum__parse_format_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
platformdirs__app_dirs_core__hard3_001,deepseek-v4-flash,python150,Adapted,config_resolve_discover,valid_agent_evidence,false,public_failure,behavior_drift,platform_path,B005;B006,True,Windows author/roaming/cache layout uses POSIX separators or a different vendor/app nesting than the declared layout.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/platformdirs__app_dirs_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
pluggy__hook_wrapper_core__hard3_001,deepseek-v4-flash,python150,Adapted,registry_plugin_dispatch,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_api,,True,First failure is an evaluator call to undeclared call_historic; excluded from the agent-cause denominator.,experiments/python/openhands/deepseek-v4-flash/python200-prime-v2-main-r1/pluggy__hook_wrapper_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,"Public test calls HookCaller.call_historic; required_api only lists add_hookimpl, call_extra, and get_hookimpls.",L1
