model,task_id,repository,cohort,lift_type,full_pass,contract_pass,delta,full_outcome,contract_outcome,both_delivered,any_service_error,any_api_empty
gpt-5.6-luna,dateutil__zone_resolver_core__hard3_001,github__dateutil__dateutil,later,Composite,0,1,-1,Public,Pass,1,0,0
gpt-5.6-luna,license_expression__policy_core__hard3_001,github__aboutcode_org__license_expression,later,Direct,0,0,0,Missing,Public,0,0,0
gpt-5.6-luna,bleach__sanitize_core__001,github__mozilla__bleach,earlier,Adapted,1,1,0,Pass,Pass,1,0,0
gpt-5.6-luna,environs__typed_env_core__001,github__sloria__environs,earlier,Direct,1,0,1,Pass,Hidden,1,0,0
gpt-5.6-luna,pytest__mark_expression_core__001,github__pytest_dev__pytest,earlier,Adapted,1,0,1,Pass,Hidden,1,0,0
gpt-5.6-luna,bidict__bidirectional_map_core__001,github__jab__bidict,earlier,Direct,1,0,1,Pass,Hidden,1,0,0
gpt-5.6-luna,celery__signal_dispatch_core__hard3_001,github__celery__celery,later,Adapted,0,0,0,Public,Public,1,0,0
gpt-5.6-luna,schema__nested_validate_core__hard3_001,github__keleshev__schema,later,Adapted,1,1,0,Pass,Pass,1,0,0
gpt-5.6-luna,ruamel_yaml__roundtrip_core__001,source__sourceforge_net__a935d43b47a4,earlier,Adapted,1,1,0,Pass,Pass,1,0,0
gpt-5.6-luna,pluggy__hook_call_order__001,github__pytest_dev__pluggy,earlier,Direct,1,0,1,Pass,Public,1,0,0
gpt-5.6-luna,httpx__request_model_core__001,github__encode__httpx,earlier,Adapted,1,0,1,Pass,Public,1,0,0
gpt-5.6-luna,flake8__plugin_options_core__hard3_001,github__pycqa__flake8,later,Composite,0,0,0,Public,Public,1,0,0
gpt-5.6-luna,coverage__source_selection_core__001,github__coveragepy__coveragepy,earlier,Adapted,1,0,1,Pass,Public,1,0,0
gpt-5.6-luna,jsonpointer__resolve_core__001,github__stefankoegl__python_json_pointer,earlier,Direct,1,0,1,Pass,Hidden,1,1,0
gpt-5.6-luna,readme_renderer__content_type_core__hard3_001,github__pypa__readme_renderer,later,Adapted,0,0,0,Public,Public,1,0,0
gpt-5.6-luna,poetry_core__dependency_groups_core__hard3_001,github__python_poetry__poetry_core,later,Composite,0,0,0,Public,Public,1,0,0
gpt-5.6-luna,wsproto__frame_parse_core__001,github__python_hyper__wsproto,earlier,Adapted,1,0,1,Pass,Public,1,0,0
gpt-5.6-luna,markdown_it__commonmark_render__001,github__executablebooks__markdown_it_py,earlier,Direct,1,0,1,Pass,Public,1,0,0
gpt-5.6-luna,sqlparse__token_tree_core__001,github__andialbrecht__sqlparse,earlier,Adapted,1,0,1,Pass,Hidden,1,0,0
deepseek-v4-pro,deepdiff__deep_compare_core__001,github__qlustered__deepdiff,earlier,Direct,1,0,1,Pass,Missing,0,1,1
deepseek-v4-pro,mako__lexer_expression_core__001,github__sqlalchemy__mako,earlier,Direct,1,0,1,Pass,Missing,0,1,1
deepseek-v4-pro,parso__python_parse_core__001,github__davidhalter__parso,earlier,Direct,1,0,1,Pass,Public,1,0,0
deepseek-v4-pro,pydantic_v1__validation_error_core__001,github__pydantic__pydantic,earlier,Adapted,1,0,1,Pass,Hidden,1,0,0
deepseek-v4-pro,pytest__ini_markers_core__001,github__pytest_dev__pytest,earlier,Composite,0,0,0,Public,Public,1,0,0
deepseek-v4-pro,decorator__signature_preserving_core__001,github__micheles__decorator,earlier,Direct,0,1,-1,Public,Pass,1,0,0
deepseek-v4-pro,hatch__project_metadata_core__hard3_001,github__pypa__hatch,later,Adapted,0,0,0,Public,Public,1,0,0
deepseek-v4-pro,astroid__nodes_core__001,github__pycqa__astroid,earlier,Adapted,1,0,1,Pass,Hidden,1,0,0
deepseek-v4-pro,babel__plural_core__001,github__python_babel__babel,earlier,Adapted,1,0,1,Pass,Missing,0,1,1
deepseek-v4-pro,attrs__validators_core__001,github__python_attrs__attrs,earlier,Direct,1,0,1,Pass,Missing,0,1,1
deepseek-v4-pro,jinja2__loader_inheritance_core__001,github__pallets__jinja,earlier,Adapted,1,1,0,Pass,Pass,1,0,0
deepseek-v4-pro,pluggy__hook_wrapper_core__hard3_001,github__pytest_dev__pluggy,later,Adapted,0,0,0,Public,Missing,0,1,1
deepseek-v4-pro,requests_cache__cache_key_core__hard3_001,github__requests_cache__requests_cache,later,Composite,0,0,0,Public,Missing,0,1,1
deepseek-v4-pro,tomlkit__roundtrip_document__001,github__python_poetry__tomlkit,earlier,Direct,1,0,1,Pass,Missing,0,1,1
deepseek-v4-pro,python_decouple__config_repository_core__001,github__hbnetwork__python_decouple,earlier,Adapted,0,0,0,Hidden,Public,1,0,0
deepseek-v4-pro,voluptuous__schema_validate_core__001,github__alecthomas__voluptuous,earlier,Direct,1,0,1,Pass,Missing,0,1,1
deepseek-v4-pro,lark__parse_tree_core__001,github__lark_parser__lark,earlier,Direct,1,0,1,Pass,Missing,0,1,1
deepseek-v4-pro,platformdirs__app_dirs_core__hard3_001,github__tox_dev__platformdirs,later,Adapted,0,0,0,Public,Missing,0,1,1
deepseek-v4-pro,setuptools_scm__version_normalize_core__hard3_001,github__pypa__setuptools_scm,later,Adapted,0,0,0,Public,Hidden,1,0,0
deepseek-v4-pro,yamale__schema_validate_core__hard3_001,github__23andme__yamale,later,Adapted,0,0,0,Public,Public,1,0,0
deepseek-v4-pro,humanize__naturaltime_core__001,github__python_humanize__humanize,earlier,Direct,1,0,1,Pass,Missing,0,1,1
deepseek-v4-pro,dateutil__zone_resolver_core__hard3_001,github__dateutil__dateutil,later,Composite,0,0,0,Hidden,Hidden,1,0,0
deepseek-v4-pro,license_expression__policy_core__hard3_001,github__aboutcode_org__license_expression,later,Direct,0,0,0,Hidden,Missing,0,1,1
deepseek-v4-pro,bleach__sanitize_core__001,github__mozilla__bleach,earlier,Adapted,1,0,1,Pass,Missing,0,1,1
deepseek-v4-pro,environs__typed_env_core__001,github__sloria__environs,earlier,Direct,1,0,1,Pass,Hidden,1,0,0
deepseek-v4-pro,pytest__mark_expression_core__001,github__pytest_dev__pytest,earlier,Adapted,1,1,0,Pass,Pass,1,0,0
deepseek-v4-pro,bidict__bidirectional_map_core__001,github__jab__bidict,earlier,Direct,1,1,0,Pass,Pass,1,0,0
deepseek-v4-pro,celery__signal_dispatch_core__hard3_001,github__celery__celery,later,Adapted,0,0,0,Public,Public,1,0,0
deepseek-v4-pro,schema__nested_validate_core__hard3_001,github__keleshev__schema,later,Adapted,1,1,0,Pass,Pass,1,0,0
deepseek-v4-pro,ruamel_yaml__roundtrip_core__001,source__sourceforge_net__a935d43b47a4,earlier,Adapted,1,1,0,Pass,Pass,1,0,0
deepseek-v4-pro,pluggy__hook_call_order__001,github__pytest_dev__pluggy,earlier,Direct,1,0,1,Pass,Missing,0,1,1
deepseek-v4-pro,httpx__request_model_core__001,github__encode__httpx,earlier,Adapted,1,0,1,Pass,Hidden,1,0,0
deepseek-v4-pro,flake8__plugin_options_core__hard3_001,github__pycqa__flake8,later,Composite,0,0,0,Public,Public,1,0,0
deepseek-v4-pro,coverage__source_selection_core__001,github__coveragepy__coveragepy,earlier,Adapted,1,0,1,Pass,Missing,0,1,1
deepseek-v4-pro,jsonpointer__resolve_core__001,github__stefankoegl__python_json_pointer,earlier,Direct,1,0,1,Pass,Missing,0,1,1
deepseek-v4-pro,readme_renderer__content_type_core__hard3_001,github__pypa__readme_renderer,later,Adapted,0,0,0,Public,Public,1,0,0
deepseek-v4-pro,poetry_core__dependency_groups_core__hard3_001,github__python_poetry__poetry_core,later,Composite,0,0,0,Public,Public,1,0,0
deepseek-v4-pro,wsproto__frame_parse_core__001,github__python_hyper__wsproto,earlier,Adapted,1,0,1,Pass,Missing,0,1,1
deepseek-v4-pro,markdown_it__commonmark_render__001,github__executablebooks__markdown_it_py,earlier,Direct,1,0,1,Pass,Public,1,0,0
deepseek-v4-pro,sqlparse__token_tree_core__001,github__andialbrecht__sqlparse,earlier,Adapted,1,0,1,Pass,Missing,0,1,1
qwen3.6-35b-a3b-fp8,deepdiff__deep_compare_core__001,github__qlustered__deepdiff,earlier,Direct,1,0,1,Pass,Public,1,0,0
qwen3.6-35b-a3b-fp8,mako__lexer_expression_core__001,github__sqlalchemy__mako,earlier,Direct,0,0,0,Public,Public,1,0,0
qwen3.6-35b-a3b-fp8,parso__python_parse_core__001,github__davidhalter__parso,earlier,Direct,1,0,1,Pass,Public,1,0,0
qwen3.6-35b-a3b-fp8,pydantic_v1__validation_error_core__001,github__pydantic__pydantic,earlier,Adapted,0,0,0,Public,Public,1,0,0
qwen3.6-35b-a3b-fp8,pytest__ini_markers_core__001,github__pytest_dev__pytest,earlier,Composite,0,0,0,Public,Hidden,1,0,0
qwen3.6-35b-a3b-fp8,decorator__signature_preserving_core__001,github__micheles__decorator,earlier,Direct,0,1,-1,Public,Pass,1,0,0
qwen3.6-35b-a3b-fp8,hatch__project_metadata_core__hard3_001,github__pypa__hatch,later,Adapted,0,0,0,Public,Public,1,0,0
qwen3.6-35b-a3b-fp8,astroid__nodes_core__001,github__pycqa__astroid,earlier,Adapted,0,0,0,Public,Public,1,0,0
qwen3.6-35b-a3b-fp8,babel__plural_core__001,github__python_babel__babel,earlier,Adapted,0,0,0,Hidden,Public,1,0,0
qwen3.6-35b-a3b-fp8,attrs__validators_core__001,github__python_attrs__attrs,earlier,Direct,1,0,1,Pass,Public,1,0,0
qwen3.6-35b-a3b-fp8,jinja2__loader_inheritance_core__001,github__pallets__jinja,earlier,Adapted,1,0,1,Pass,Hidden,1,0,0
qwen3.6-35b-a3b-fp8,pluggy__hook_wrapper_core__hard3_001,github__pytest_dev__pluggy,later,Adapted,0,0,0,Public,Public,1,0,0
qwen3.6-35b-a3b-fp8,requests_cache__cache_key_core__hard3_001,github__requests_cache__requests_cache,later,Composite,0,0,0,Hidden,Public,1,0,0
qwen3.6-35b-a3b-fp8,tomlkit__roundtrip_document__001,github__python_poetry__tomlkit,earlier,Direct,1,0,1,Pass,Public,1,0,0
qwen3.6-35b-a3b-fp8,python_decouple__config_repository_core__001,github__hbnetwork__python_decouple,earlier,Adapted,0,0,0,Hidden,Public,1,0,0
qwen3.6-35b-a3b-fp8,voluptuous__schema_validate_core__001,github__alecthomas__voluptuous,earlier,Direct,0,0,0,Hidden,Public,1,0,0
qwen3.6-35b-a3b-fp8,lark__parse_tree_core__001,github__lark_parser__lark,earlier,Direct,0,0,0,Build,Public,1,0,0
qwen3.6-35b-a3b-fp8,platformdirs__app_dirs_core__hard3_001,github__tox_dev__platformdirs,later,Adapted,0,0,0,Public,Public,1,0,0
qwen3.6-35b-a3b-fp8,setuptools_scm__version_normalize_core__hard3_001,github__pypa__setuptools_scm,later,Adapted,0,0,0,Public,Public,1,0,0
qwen3.6-35b-a3b-fp8,yamale__schema_validate_core__hard3_001,github__23andme__yamale,later,Adapted,0,0,0,Public,Public,1,0,0
qwen3.6-35b-a3b-fp8,humanize__naturaltime_core__001,github__python_humanize__humanize,earlier,Direct,0,0,0,Missing,Public,0,0,0
qwen3.6-35b-a3b-fp8,dateutil__zone_resolver_core__hard3_001,github__dateutil__dateutil,later,Composite,0,0,0,Public,Hidden,1,0,0
qwen3.6-35b-a3b-fp8,license_expression__policy_core__hard3_001,github__aboutcode_org__license_expression,later,Direct,0,0,0,Public,Public,1,0,0
qwen3.6-35b-a3b-fp8,bleach__sanitize_core__001,github__mozilla__bleach,earlier,Adapted,1,0,1,Pass,Public,1,0,0
qwen3.6-35b-a3b-fp8,environs__typed_env_core__001,github__sloria__environs,earlier,Direct,1,0,1,Pass,Public,1,0,0
qwen3.6-35b-a3b-fp8,pytest__mark_expression_core__001,github__pytest_dev__pytest,earlier,Adapted,1,0,1,Pass,Public,1,0,0
qwen3.6-35b-a3b-fp8,bidict__bidirectional_map_core__001,github__jab__bidict,earlier,Direct,1,0,1,Pass,Public,1,0,0
qwen3.6-35b-a3b-fp8,celery__signal_dispatch_core__hard3_001,github__celery__celery,later,Adapted,0,0,0,Public,Public,1,0,0
qwen3.6-35b-a3b-fp8,schema__nested_validate_core__hard3_001,github__keleshev__schema,later,Adapted,0,0,0,Missing,Hidden,0,0,0
qwen3.6-35b-a3b-fp8,ruamel_yaml__roundtrip_core__001,source__sourceforge_net__a935d43b47a4,earlier,Adapted,0,0,0,Missing,Public,0,0,0
qwen3.6-35b-a3b-fp8,pluggy__hook_call_order__001,github__pytest_dev__pluggy,earlier,Direct,0,0,0,Missing,Public,0,0,0
qwen3.6-35b-a3b-fp8,httpx__request_model_core__001,github__encode__httpx,earlier,Adapted,0,0,0,Hidden,Public,1,0,0
qwen3.6-35b-a3b-fp8,flake8__plugin_options_core__hard3_001,github__pycqa__flake8,later,Composite,0,0,0,Public,Public,1,0,0
qwen3.6-35b-a3b-fp8,coverage__source_selection_core__001,github__coveragepy__coveragepy,earlier,Adapted,1,0,1,Pass,Public,1,0,0
qwen3.6-35b-a3b-fp8,jsonpointer__resolve_core__001,github__stefankoegl__python_json_pointer,earlier,Direct,1,0,1,Pass,Hidden,1,0,0
qwen3.6-35b-a3b-fp8,readme_renderer__content_type_core__hard3_001,github__pypa__readme_renderer,later,Adapted,0,0,0,Build,Missing,0,0,0
qwen3.6-35b-a3b-fp8,poetry_core__dependency_groups_core__hard3_001,github__python_poetry__poetry_core,later,Composite,0,0,0,Public,Public,1,0,0
qwen3.6-35b-a3b-fp8,wsproto__frame_parse_core__001,github__python_hyper__wsproto,earlier,Adapted,1,0,1,Pass,Public,1,0,0
qwen3.6-35b-a3b-fp8,markdown_it__commonmark_render__001,github__executablebooks__markdown_it_py,earlier,Direct,0,0,0,Isolation,Public,1,0,0
qwen3.6-35b-a3b-fp8,sqlparse__token_tree_core__001,github__andialbrecht__sqlparse,earlier,Adapted,0,0,0,Hidden,Public,1,0,0
