task_id,suite_split,construction_split_150,source_repo,source_commit,feature_family_selection,feature_family_v2,copytrap,paper_situation,lift_type,lift_label_status,entanglement_primary_original,entanglement_types_original,normalized_entanglement_types,public_test_count,hidden_test_count,paper_fit,taxonomy_coverage,classification_evidence,taxonomy_version
authlib__oauth2_server_core__001,hard50,NA,authlib,772bc72fe8440e6c5dd0a6615fb42d7466f85546,workflow_session_orchestration,workflow_session_orchestration,false,session_lifecycle,Adapted,planned_ledger,framework_coupling,framework_coupling;data_model_coupling,framework_lifecycle;data_model_invariant,2,4,"RQ1 session protocol. joserfc/pyjwt in E50 are token codecs, not grant workflow.",ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/authlib__oauth2_server_core__001/metadata.json;benchmark/selection/hard50_design_cards/authlib__oauth2_server_core__001.md,python200_hard_v1
babel__plural_core__001,python150,core100,babel,2.11.0-installed-snapshot,cache_retry_policy,cache_retry_policy,false,session_lifecycle,Adapted,labeled,third_party_dependency_coupling,data_model_coupling;resource_coupling;third_party_dependency_coupling,data_model_invariant;resource_packaging;static_transitive_dependency;third_party_contract,1,4,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/babel__plural_core__001/metadata.json,python200_hard_v1
bandit__config_plugin_core__001,hard50,NA,bandit,f8b9f1a2210f50539d0e28b1b457462cdb4036a1,config_resolve_discover,config_resolve_discover,false,config_merge,Direct,planned_ledger,config_environment_coupling,config_environment_coupling;implicit_dependency_coupling,config_environment;implicit_runtime_dependency,4,6,RQ2: security scanner repo as decoy around config+plugin ids.,ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/bandit__config_plugin_core__001/metadata.json;benchmark/selection/hard50_design_cards/bandit__config_plugin_core__001.md,python200_hard_v1
beaker__session_cache_core__001,hard50,NA,Beaker,14368d97c2dafa16260bcc79df97a513b553a841,workflow_session_orchestration,workflow_session_orchestration,false,session_lifecycle,Adapted,planned_ledger,resource_coupling,resource_coupling;framework_coupling,resource_packaging;framework_lifecycle,2,4,RQ4 session+cache backends; unused backends are decoy.,ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/beaker__session_cache_core__001/metadata.json;benchmark/selection/hard50_design_cards/beaker__session_cache_core__001.md,python200_hard_v1
betamax__cassette_match_core__001,hard50,NA,betamax,8f3d284103676a43d1481b5cffae96f3a601e0be,direct_tooling_copytrap,resource_metadata_loading,true,resource_or_copytrap,Direct,planned_ledger,resource_coupling,resource_coupling;framework_coupling,resource_packaging;framework_lifecycle,3,5,"RQ5 vs E50 vcrpy: requests Session integration, still copy-trap on unused matchers.",ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/betamax__cassette_match_core__001/metadata.json;benchmark/selection/hard50_design_cards/betamax__cassette_match_core__001.md,python200_hard_v1
bidict__bidirectional_map_core__001,python150,core100,bidict,393bcfdc8edb861514d23aae55839272b5bd52f8,algorithm_data_structure,algorithm_data_structure,false,schema_validate,Direct,labeled,data_model_coupling,data_model_coupling;implicit_dependency_coupling,data_model_invariant;implicit_runtime_dependency;static_transitive_dependency,3,7,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/bidict__bidirectional_map_core__001/metadata.json,python200_hard_v1
bleach__sanitize_core__001,python150,core100,bleach,4.1.0-installed-snapshot,validate_normalize_construct,validate_normalize_construct,false,schema_validate,Adapted,labeled,parser_state_coupling,data_model_coupling;parser_state_coupling,data_model_invariant;parser_state;static_transitive_dependency,3,7,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/bleach__sanitize_core__001/metadata.json,python200_hard_v1
blinker__signal_registry_core__001,python150,core100,blinker,876a12a1988c1789799a1d6919abdce38a62a0ff,registry_plugin_dispatch,registry_plugin_dispatch,false,plugin_registry,Direct,labeled,framework_coupling,data_model_coupling;framework_coupling,data_model_invariant;framework_lifecycle;static_transitive_dependency,2,3,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/blinker__signal_registry_core__001/metadata.json,python200_hard_v1
boltons__iterutils_core__001,python150,core100,boltons,23.0.0-installed-snapshot,algorithm_data_structure,algorithm_data_structure,false,schema_validate,Adapted,labeled,data_model_coupling,data_model_coupling;parser_state_coupling,data_model_invariant;parser_state,3,12,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/boltons__iterutils_core__001/metadata.json,python200_hard_v1
build__pyproject_backend_core__hard3_001,python150,hard50,build,6c03264d186ce7a6c9f1e1990408a3a215dc7610,validate_normalize_construct,validate_normalize_construct,false,schema_validate,Adapted,labeled,data_model_coupling,config_environment_coupling;data_model_coupling,config_environment;data_model_invariant;static_transitive_dependency,1,3,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/build__pyproject_backend_core__hard3_001/metadata.json,python200_hard_v1
cachetools__cache_eviction_core__001,python150,core100,cachetools,48284d73d0a8834c9c50f8d41bb99e6f93b2dfed,cache_retry_policy,cache_retry_policy,false,session_lifecycle,Direct,labeled,data_model_coupling,data_model_coupling;global_state_registry_coupling;parser_state_coupling,data_model_invariant;global_state_registry;parser_state;static_transitive_dependency,3,8,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/cachetools__cache_eviction_core__001/metadata.json,python200_hard_v1
cattrs__structure_core__001,python150,core100,cattrs,5dc43b3f3887f443a58c61d7c89650357c236d51,serialize_format_render,serialize_format_render,false,parse_codec,Direct,labeled,data_model_coupling,data_model_coupling;framework_coupling;implicit_dependency_coupling;third_party_dependency_coupling,data_model_invariant;framework_lifecycle;implicit_runtime_dependency;static_transitive_dependency;third_party_contract,3,7,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/cattrs__structure_core__001/metadata.json,python200_hard_v1
celery__signal_dispatch_core__hard3_001,python150,hard50,celery,201573a11fb8c6cf8f712deea3b23142146b2cbb,registry_plugin_dispatch,registry_plugin_dispatch,false,plugin_registry,Adapted,labeled,framework_coupling,framework_coupling;global_state_registry_coupling,framework_lifecycle;global_state_registry,1,5,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/celery__signal_dispatch_core__hard3_001/metadata.json,python200_hard_v1
cement__controller_plugin_core__001,hard50,NA,cement,b5af20431d4c50f0c1bfb7ed5544b620edbe4c73,registry_plugin_dispatch,registry_plugin_dispatch,false,plugin_registry,Composite,planned_ledger,framework_coupling,framework_coupling;config_environment_coupling,framework_lifecycle;config_environment,3,5,"RQ4 framework plugin + hooks, a realistic extraction target.",ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/cement__controller_plugin_core__001/metadata.json;benchmark/selection/hard50_design_cards/cement__controller_plugin_core__001.md,python200_hard_v1
cerberus__schema_validate_core__001,python150,core100,cerberus,f2221c5a901bbf8618efb694ef9364bd0882ac9a,validate_normalize_construct,validate_normalize_construct,false,schema_validate,Direct,labeled,data_model_coupling,data_model_coupling;framework_coupling;implicit_dependency_coupling,data_model_invariant;framework_lifecycle;implicit_runtime_dependency;static_transitive_dependency,3,6,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/cerberus__schema_validate_core__001/metadata.json,python200_hard_v1
chameleon__template_compile_core__001,python150,core100,chameleon,4.6.0-installed-snapshot,serialize_format_render,serialize_format_render,false,parse_codec,Adapted,labeled,parser_state_coupling,framework_coupling;implicit_dependency_coupling;parser_state_coupling,dynamic_import_plugin;framework_lifecycle;implicit_runtime_dependency;parser_state;static_transitive_dependency,2,4,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/chameleon__template_compile_core__001/metadata.json,python200_hard_v1
cherrypy__dispatch_tool_core__001,hard50,NA,CherryPy,1f75bc9eed8e0e385f64f368bd69f58d96fb8c2b,registry_plugin_dispatch,registry_plugin_dispatch,false,plugin_registry,Composite,planned_ledger,framework_coupling,framework_coupling;implicit_dependency_coupling,framework_lifecycle;implicit_runtime_dependency,4,6,Backup framework dispatch if falcon/connexion blocked.,ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/cherrypy__dispatch_tool_core__001/metadata.json;benchmark/selection/hard50_design_cards/cherrypy__dispatch_tool_core__001.md,python200_hard_v1
click__lazy_command_core__hard3_001,python150,hard50,click,16fc00e2f4a2717a521084f193709a6058afc693,registry_plugin_dispatch,registry_plugin_dispatch,false,plugin_registry,Adapted,labeled,framework_coupling,framework_coupling;implicit_dependency_coupling,dynamic_import_plugin;framework_lifecycle;implicit_runtime_dependency,1,4,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/click__lazy_command_core__hard3_001/metadata.json,python200_hard_v1
click__option_parser__001,python150,core100,click,8.1.7-installed-snapshot,parse_tokenize_decode,parse_tokenize_decode,false,parse_codec,Adapted,labeled,framework_coupling,config_environment_coupling;framework_coupling;global_state_registry_coupling;implicit_dependency_coupling,config_environment;framework_lifecycle;global_state_registry;implicit_runtime_dependency;static_transitive_dependency,1,3,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/click__option_parser__001/metadata.json,python200_hard_v1
cliff__command_dispatch_core__001,hard50,NA,cliff,89efc71e3660e0f5b5fc56fa455890950c205401,registry_plugin_dispatch,registry_plugin_dispatch,false,plugin_registry,Adapted,planned_ledger,framework_coupling,framework_coupling;implicit_dependency_coupling,framework_lifecycle;implicit_runtime_dependency,4,6,RQ5 lift=Adapted registry: command plugins without writing a new CLI framework.,ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/cliff__command_dispatch_core__001/metadata.json;benchmark/selection/hard50_design_cards/cliff__command_dispatch_core__001.md,python200_hard_v1
configobj__roundtrip_config_core__001,python150,core100,configobj,b7707c94c0317b8f89b704a01525a68eb6c72521,config_resolve_discover,config_resolve_discover,false,config_merge,Direct,labeled,config_environment_coupling,config_environment_coupling;parser_state_coupling,config_environment;parser_state;static_transitive_dependency,3,7,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/configobj__roundtrip_config_core__001/metadata.json,python200_hard_v1
connexion__openapi_resolver_core__001,hard50,NA,connexion,a23d44e0e0421fd83f5ba132269bcfd04b855a16,registry_plugin_dispatch,registry_plugin_dispatch,false,plugin_registry,Composite,planned_ledger,framework_coupling,framework_coupling;implicit_dependency_coupling,framework_lifecycle;implicit_runtime_dependency,4,7,"RQ1 framework_plugin: spec-driven dispatch, not greenfield Flask.",ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/connexion__openapi_resolver_core__001/metadata.json;benchmark/selection/hard50_design_cards/connexion__openapi_resolver_core__001.md,python200_hard_v1
cookiecutter__repo_finder_core__hard3_001,python150,hard50,cookiecutter,c88fbe921c97c58b65f1883ba90a0ab53cc91b34,config_resolve_discover,config_resolve_discover,false,config_merge,Composite,labeled,resource_coupling,config_environment_coupling;resource_coupling,config_environment;resource_packaging;static_transitive_dependency,1,4,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/cookiecutter__repo_finder_core__hard3_001/metadata.json,python200_hard_v1
copier__template_answers_core__001,hard50,NA,copier,5f71fad40920cd03f0fe6bf2292daa43cf089fff,config_resolve_discover,config_resolve_discover,false,config_merge,Adapted,planned_ledger,config_environment_coupling,config_environment_coupling;implicit_dependency_coupling,config_environment;implicit_runtime_dependency,4,6,RQ2 large template engine with a bounded answers/config slice.,ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/copier__template_answers_core__001/metadata.json;benchmark/selection/hard50_design_cards/copier__template_answers_core__001.md,python200_hard_v1
coverage__config_merge_core__001,python150,core100,coveragepy,f0dcf65f47120d9f74f6777134d3b8e92515ce6f,config_resolve_discover,config_resolve_discover,false,config_merge,Adapted,labeled,config_environment_coupling,config_environment_coupling;framework_coupling;implicit_dependency_coupling,config_environment;dynamic_import_plugin;framework_lifecycle;implicit_runtime_dependency;static_transitive_dependency,2,5,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/coverage__config_merge_core__001/metadata.json,python200_hard_v1
coverage__glob_matcher_core__001,python150,core100,coveragepy,f0dcf65f47120d9f74f6777134d3b8e92515ce6f,config_resolve_discover,config_resolve_discover,false,config_merge,Direct,labeled,resource_coupling,config_environment_coupling;implicit_dependency_coupling;resource_coupling,config_environment;implicit_runtime_dependency;static_transitive_dependency,3,5,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/coverage__glob_matcher_core__001/metadata.json,python200_hard_v1
coverage__path_remap_core__001,python150,core100,coveragepy,f0dcf65f47120d9f74f6777134d3b8e92515ce6f,config_resolve_discover,config_resolve_discover,false,config_merge,Adapted,labeled,resource_coupling,config_environment_coupling;implicit_dependency_coupling;resource_coupling,config_environment;implicit_runtime_dependency;static_transitive_dependency,2,5,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/coverage__path_remap_core__001/metadata.json,python200_hard_v1
coverage__report_core__001,python150,core100,coveragepy,f0dcf65f47120d9f74f6777134d3b8e92515ce6f,serialize_format_render,serialize_format_render,false,parse_codec,Adapted,labeled,config_environment_coupling,config_environment_coupling;data_model_coupling;framework_coupling,config_environment;data_model_invariant;dynamic_import_plugin;framework_lifecycle;static_transitive_dependency,2,4,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/coverage__report_core__001/metadata.json,python200_hard_v1
coverage__source_selection_core__001,python150,core100,coveragepy,f0dcf65f47120d9f74f6777134d3b8e92515ce6f,config_resolve_discover,config_resolve_discover,false,config_merge,Adapted,labeled,config_environment_coupling,config_environment_coupling;global_state_registry_coupling;implicit_dependency_coupling;resource_coupling,config_environment;dynamic_import_plugin;global_state_registry;implicit_runtime_dependency;resource_packaging;static_transitive_dependency,2,5,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/coverage__source_selection_core__001/metadata.json,python200_hard_v1
croniter__cron_parse_core__001,python150,core100,croniter,dc04395e2291b44a74507919d27a13f922b7f77d,protocol_state_transition,protocol_state_transition,false,parse_codec,Direct,labeled,parser_state_coupling,config_environment_coupling;implicit_dependency_coupling;parser_state_coupling,config_environment;implicit_runtime_dependency;parser_state;static_transitive_dependency,4,6,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/croniter__cron_parse_core__001/metadata.json,python200_hard_v1
dataclasses_json__serde_core__001,python150,core100,dataclasses-json,dc63902eeb5e1c5ce1ea4e078c50e0eb9bc1a541,serialize_format_render,serialize_format_render,false,parse_codec,Direct,labeled,data_model_coupling,data_model_coupling;framework_coupling;implicit_dependency_coupling,data_model_invariant;framework_lifecycle;implicit_runtime_dependency;static_transitive_dependency,4,9,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/dataclasses_json__serde_core__001/metadata.json,python200_hard_v1
dateutil__zone_resolver_core__hard3_001,python150,hard50,dateutil,48bd1af97e71baf8e96fce5b663d589caac8f147,resource_metadata_loading,resource_metadata_loading,false,resource_or_copytrap,Composite,labeled,resource_coupling,parser_state_coupling;resource_coupling,parser_state;resource_packaging;static_transitive_dependency,1,4,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/dateutil__zone_resolver_core__hard3_001/metadata.json,python200_hard_v1
decorator__signature_preserving_core__001,python150,core100,decorator,ad013a2c1ad7969963acf3dea948632be387f5a0,workflow_session_orchestration,workflow_session_orchestration,false,session_lifecycle,Direct,labeled,data_model_coupling,data_model_coupling;framework_coupling,data_model_invariant;framework_lifecycle,1,3,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/decorator__signature_preserving_core__001/metadata.json,python200_hard_v1
deepdiff__deep_compare_core__001,python150,core100,deepdiff,9.1.0-installed-snapshot,algorithm_data_structure,algorithm_data_structure,false,schema_validate,Direct,labeled,data_model_coupling,data_model_coupling;parser_state_coupling,data_model_invariant;parser_state;static_transitive_dependency,2,6,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/deepdiff__deep_compare_core__001/metadata.json,python200_hard_v1
diskcache__eviction_policy_core__hard3_001,python150,hard50,diskcache,ebfa37cd99d7ef716ec452ad8af4b4276a8e2233,cache_retry_policy,cache_retry_policy,false,session_lifecycle,Composite,labeled,resource_coupling,implicit_dependency_coupling;resource_coupling,implicit_runtime_dependency;resource_packaging,1,4,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/diskcache__eviction_policy_core__hard3_001/metadata.json,python200_hard_v1
distlib__wheel_metadata_core__hard3_001,python150,hard50,distlib,454a87c64f0b545138dc4798aa833a4ff8ac2377,resource_metadata_loading,resource_metadata_loading,false,resource_or_copytrap,Adapted,labeled,resource_coupling,data_model_coupling;resource_coupling,data_model_invariant;dynamic_import_plugin;resource_packaging;static_transitive_dependency,1,5,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/distlib__wheel_metadata_core__hard3_001/metadata.json,python200_hard_v1
dogpile_cache__region_backend_core__001,hard50,NA,dogpile.cache,185db4fb6cd844cddac17cc3dcbbd51a876891da,registry_plugin_dispatch,registry_plugin_dispatch,false,plugin_registry,Adapted,planned_ledger,framework_coupling,framework_coupling;data_model_coupling;third_party_dependency_coupling,framework_lifecycle;data_model_invariant;third_party_contract,2,5,RQ2+RQ4: backend registry with a large unused backend tree as copy-all decoy.,ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/dogpile_cache__region_backend_core__001/metadata.json;benchmark/selection/hard50_design_cards/dogpile_cache__region_backend_core__001.md,python200_hard_v1
dramatiq__actor_stub_broker_core__001,hard50,NA,dramatiq,848b35f2f960457ff54a72f9edb3af0de754f72f,workflow_session_orchestration,workflow_session_orchestration,false,session_lifecycle,Composite,planned_ledger,framework_coupling,implicit_dependency_coupling;framework_coupling,implicit_runtime_dependency;framework_lifecycle,2,4,RQ4 actor registry + broker; unused brokers are copy-all decoy.,ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/dramatiq__actor_stub_broker_core__001/metadata.json;benchmark/selection/hard50_design_cards/dramatiq__actor_stub_broker_core__001.md,python200_hard_v1
dulwich__config_parse_core__001,hard50,NA,Dulwich,2f039e67903559e279cb61250c6ea31bfa5f727c,config_resolve_discover,config_resolve_discover,false,config_merge,Adapted,planned_ledger,config_environment_coupling,config_environment_coupling;data_model_coupling,config_environment;data_model_invariant,2,4,RQ2: Git config slice inside a large porcelain/pack tree.,ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/dulwich__config_parse_core__001/metadata.json;benchmark/selection/hard50_design_cards/dulwich__config_parse_core__001.md,python200_hard_v1
dynaconf__settings_merge_core__001,python150,core100,dynaconf,3.3.1-installed-snapshot,config_resolve_discover,config_resolve_discover,false,config_merge,Adapted,labeled,config_environment_coupling,config_environment_coupling;data_model_coupling;framework_coupling,config_environment;data_model_invariant;dynamic_import_plugin;framework_lifecycle;static_transitive_dependency,2,5,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/dynaconf__settings_merge_core__001/metadata.json,python200_hard_v1
email_validator__validate_core__001,python150,core100,email-validator,b73d010bb3db70547199f39fd85d2286a7f6f476,parse_tokenize_decode,parse_tokenize_decode,false,parse_codec,Direct,labeled,parser_state_coupling,data_model_coupling;parser_state_coupling;third_party_dependency_coupling,data_model_invariant;parser_state;static_transitive_dependency;third_party_contract,4,11,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/email_validator__validate_core__001/metadata.json,python200_hard_v1
environs__typed_env_core__001,python150,core100,environs,97f9b7065c753b763949a8d61ec2fee880458d4a,config_resolve_discover,config_resolve_discover,false,config_merge,Direct,labeled,config_environment_coupling,config_environment_coupling;data_model_coupling;third_party_dependency_coupling,config_environment;data_model_invariant;static_transitive_dependency;third_party_contract,4,10,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/environs__typed_env_core__001/metadata.json,python200_hard_v1
faker__provider_core__001,python150,core100,Faker,40.23.0-installed-snapshot,resource_metadata_loading,resource_metadata_loading,false,resource_or_copytrap,Direct,labeled,resource_coupling,global_state_registry_coupling;implicit_dependency_coupling;resource_coupling,dynamic_import_plugin;global_state_registry;implicit_runtime_dependency;resource_packaging;static_transitive_dependency,1,3,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/faker__provider_core__001/metadata.json,python200_hard_v1
