model,task_id,file,entrypoint_file,support_file,closure_file,action_step,action_id,observation_id,action_kind,evidence_kind,command_or_path,matched_source_pair,observation_sha256
deepseek-v4-pro,arrow__parse_format_core__001,arrow/constants.py,False,True,False,3,4b2bf453-0cec-4307-81b4-129f9efb8128,dd8a4591-06fc-407c-a279-b0b7f7d424c8,TerminalAction,explicit_read,"cd /flb/workspace && cat repo/arrow/__init__.py && echo ""=====API====="" && cat repo/arrow/api.py && echo ""=====CONSTANTS====="" && cat repo/arrow/constants.py && echo ""=====UTIL====="" && cat repo/arrow/util.py","[""MAX_ORDINAL: Final[int] = datetime.max.toordinal()"", ""MIN_ORDINAL: Final[int] = 1""]",525ffe4bbcba68f60b10c09e762439352cb81e4d0a0c78103deed98ad97251df
deepseek-v4-pro,arrow__parse_format_core__001,arrow/util.py,False,True,False,3,4b2bf453-0cec-4307-81b4-129f9efb8128,dd8a4591-06fc-407c-a279-b0b7f7d424c8,TerminalAction,explicit_read,"cd /flb/workspace && cat repo/arrow/__init__.py && echo ""=====API====="" && cat repo/arrow/api.py && echo ""=====CONSTANTS====="" && cat repo/arrow/constants.py && echo ""=====UTIL====="" && cat repo/arrow/util.py","[""\""\""\""Check if value is a valid timestamp.\""\""\"""", ""if isinstance(value, bool):""]",525ffe4bbcba68f60b10c09e762439352cb81e4d0a0c78103deed98ad97251df
deepseek-v4-pro,arrow__parse_format_core__001,arrow/api.py,True,True,False,3,4b2bf453-0cec-4307-81b4-129f9efb8128,dd8a4591-06fc-407c-a279-b0b7f7d424c8,TerminalAction,explicit_read,"cd /flb/workspace && cat repo/arrow/__init__.py && echo ""=====API====="" && cat repo/arrow/api.py && echo ""=====CONSTANTS====="" && cat repo/arrow/constants.py && echo ""=====UTIL====="" && cat repo/arrow/util.py","[""\""\""\""Returns an :class:`.ArrowFactory` for the specified :class:`Arrow <arrow.arrow.Arrow>`"", ""or derived type.""]",525ffe4bbcba68f60b10c09e762439352cb81e4d0a0c78103deed98ad97251df
deepseek-v4-pro,arrow__parse_format_core__001,arrow/factory.py,False,True,False,4,324c37ea-2fd5-4957-b819-0062c76bce60,b41946bb-de29-440f-9d3d-f52e63cd4089,TerminalAction,explicit_read,cd /flb/workspace && cat repo/arrow/factory.py,"[""**One** ``float`` or ``int``, convertible to a floating-point timestamp, to get"", ""that timestamp in UTC::""]",0e0281a3cbc5fd98d30499914f5f9bb315d532a6e892cb7684dc67473ac2ecd0
deepseek-v4-pro,arrow__parse_format_core__001,arrow/formatter.py,False,True,False,5,209a3d7b-f774-4b21-afaa-b1cb0d3bd116,a1caf7f8-579d-4424-a3ce-3a9aa009974b,TerminalAction,explicit_read,cd /flb/workspace && cat repo/arrow/formatter.py,"[""FORMAT_ATOM: Final[str] = \""YYYY-MM-DD HH:mm:ssZZ\"""", ""FORMAT_COOKIE: Final[str] = \""dddd, DD-MMM-YYYY HH:mm:ss ZZZ\""""]",0325d11d0d04a22db1f4eecc776e21cf6ca676a6fd1e7e9db3838edb7cd70f60
deepseek-v4-pro,arrow__parse_format_core__001,arrow/parser.py,True,True,False,6,9f5ba3d3-31af-4ac6-ba14-855e20d7aa60,1c8b7d96-19f6-4985-8a98-bcd7d74be67a,TerminalAction,explicit_read,cd /flb/workspace && cat repo/arrow/parser.py,"[""\""D\"": _ONE_OR_TWO_DIGIT_RE,"", ""\""HH\"": _TWO_DIGIT_RE,""]",98f43005e172e7ff123362d81a3a714c49df0c8cf77298751e302dbd818335f6
deepseek-v4-pro,arrow__parse_format_core__001,arrow/arrow.py,True,True,False,7,4bac5b55-6f6e-4d1a-93c5-f03f687a35d3,bfc7228a-5a70-49fb-9090-063515c92262,TerminalAction,explicit_read,cd /flb/workspace && cat repo/arrow/arrow.py,"[""\""\""\""Constructs an :class:`Arrow <arrow.arrow.Arrow>` object corresponding"", ""to the Gregorian Ordinal.""]",1106e1b6c71d473e5cf8f5bc61d29ce018e6fdfbe028b51039d3bd956f7120ae
deepseek-v4-pro,arrow__parse_format_core__001,arrow/locales.py,False,True,False,10,2ba0fa22-026d-480a-b743-b123c1732e7f,37568b85-03da-41e5-b2ed-bb808437b1a2,TerminalAction,search_snippet,"cd /flb/workspace && grep -n ""class \|def get_locale\|TimeFrameLiteral\|_locales\|_map_locales"" repo/arrow/locales.py | head -200","[""class IcelandicLocale(Locale):"", ""def _format_timeframe(self, timeframe: TimeFrameLiteral, delta: int) -> str:""]",bda3f5fc743b72004cb3a56f10ea5cd1f9cce6d3add615f96a4970df22068063
deepseek-v4-pro,arrow__parse_format_core__001,arrow/locales.py,False,True,False,11,5f8be0bf-61b9-4bc9-b022-4a9901c2449b,f65ebfd9-9ff6-4d5b-a4a0-aeccfc603705,TerminalAction,explicit_read,"cd /flb/workspace && sed -n '1,420p' repo/arrow/locales.py","[""\""\""\""Returns an appropriate :class:`Locale <arrow.locales.Locale>`"", ""corresponding to an input locale name.""]",b369d9d7e64c0c3a3f6bcd0e917df542ff2282ad3436fced62f45557014b4f66
deepseek-v4-flash,arrow__parse_format_core__001,arrow/constants.py,False,True,False,3,ccef2ceb-8110-4c2f-bb22-3efb8c28693b,04c37cf5-3a50-40b6-9fcb-6163a546fcb8,TerminalAction,explicit_read,cat /flb/workspace/repo/arrow/__init__.py /flb/workspace/repo/arrow/constants.py,"[""MAX_ORDINAL: Final[int] = datetime.max.toordinal()"", ""MIN_ORDINAL: Final[int] = 1""]",13e9b13c7144b6d4a4e8a080dc299168fcefc064a27fb72ae201b503858f5a93
deepseek-v4-flash,arrow__parse_format_core__001,arrow/parser.py,True,True,False,6,f674d6fc-5052-45b4-abd3-b8adf800bb09,df2decf9-a22d-41b7-89e3-2213f5da88de,TerminalAction,explicit_read,cd /flb/workspace/repo && cat arrow/parser.py,"[""\""D\"": _ONE_OR_TWO_DIGIT_RE,"", ""\""HH\"": _TWO_DIGIT_RE,""]",98f43005e172e7ff123362d81a3a714c49df0c8cf77298751e302dbd818335f6
deepseek-v4-flash,arrow__parse_format_core__001,arrow/arrow.py,True,True,False,8,67c61ccf-e8e6-452e-a043-9682d105b3d3,2413e5cb-f9f8-473e-b126-b80c660e47e2,TerminalAction,explicit_read,cd /flb/workspace/repo && cat arrow/arrow.py,"[""\""\""\""Constructs an :class:`Arrow <arrow.arrow.Arrow>` object corresponding"", ""to the Gregorian Ordinal.""]",1106e1b6c71d473e5cf8f5bc61d29ce018e6fdfbe028b51039d3bd956f7120ae
deepseek-v4-flash,arrow__parse_format_core__001,arrow/util.py,False,True,False,11,caa35a00-a800-4d0f-9f3e-91089e184ee7,24ab8604-aa10-48fc-b5f6-250d91fe4afe,TerminalAction,explicit_read,cd /flb/workspace/repo && cat arrow/factory.py arrow/api.py arrow/util.py,"[""\""\""\""Check if value is a valid timestamp.\""\""\"""", ""if isinstance(value, bool):""]",92c0bdb3aea04d8d43124a4aa8eb988476b273db1e78f6c399205898004afbe8
deepseek-v4-flash,arrow__parse_format_core__001,arrow/factory.py,False,True,False,11,caa35a00-a800-4d0f-9f3e-91089e184ee7,24ab8604-aa10-48fc-b5f6-250d91fe4afe,TerminalAction,explicit_read,cd /flb/workspace/repo && cat arrow/factory.py arrow/api.py arrow/util.py,"[""**One** ``float`` or ``int``, convertible to a floating-point timestamp, to get"", ""that timestamp in UTC::""]",92c0bdb3aea04d8d43124a4aa8eb988476b273db1e78f6c399205898004afbe8
deepseek-v4-flash,arrow__parse_format_core__001,arrow/api.py,True,True,False,11,caa35a00-a800-4d0f-9f3e-91089e184ee7,24ab8604-aa10-48fc-b5f6-250d91fe4afe,TerminalAction,explicit_read,cd /flb/workspace/repo && cat arrow/factory.py arrow/api.py arrow/util.py,"[""\""\""\""Returns an :class:`.ArrowFactory` for the specified :class:`Arrow <arrow.arrow.Arrow>`"", ""or derived type.""]",92c0bdb3aea04d8d43124a4aa8eb988476b273db1e78f6c399205898004afbe8
deepseek-v4-flash,arrow__parse_format_core__001,arrow/formatter.py,False,True,False,12,a2d74b52-fa7d-4ce0-80a4-1b0779aa8a01,fe15dc6f-eb89-4710-9612-59a8d04d6bc9,TerminalAction,explicit_read,cd /flb/workspace/repo && cat arrow/formatter.py,"[""FORMAT_ATOM: Final[str] = \""YYYY-MM-DD HH:mm:ssZZ\"""", ""FORMAT_COOKIE: Final[str] = \""dddd, DD-MMM-YYYY HH:mm:ss ZZZ\""""]",0325d11d0d04a22db1f4eecc776e21cf6ca676a6fd1e7e9db3838edb7cd70f60
deepseek-v4-flash,arrow__parse_format_core__001,arrow/locales.py,False,True,False,14,1b495b68-d878-4d3c-9c43-ca276b32bc2f,0c98140a-2132-44f3-a189-25535ea44a01,TerminalAction,explicit_read,"cd /flb/workspace/repo && sed -n '1,412p' arrow/locales.py","[""\""\""\""Returns an appropriate :class:`Locale <arrow.locales.Locale>`"", ""corresponding to an input locale name.""]",4c3e40d09854b3a5121c60d8597dc6e3cadad1f69619c2db094c2b7ff324c02b
gpt-5.6-luna,arrow__parse_format_core__001,arrow/parser.py,True,True,False,8,58da5614-ba26-447c-9965-fabaee39b22d,fafc8d8b-b757-4367-a9f0-9c4da57686ee,TerminalAction,explicit_read,"sed -n '1,220p' /flb/workspace/repo/arrow/parser.py; sed -n '300,740p' /flb/workspace/repo/arrow/parser.py","[""\""D\"": _ONE_OR_TWO_DIGIT_RE,"", ""\""HH\"": _TWO_DIGIT_RE,""]",420f715a7e2e15ddf50f3d83813dcc0655b86b1837dafa0cf6ea6c1fec15f28c
gpt-5.6-luna,arrow__parse_format_core__001,arrow/formatter.py,False,True,False,9,59ebe201-e9f1-4081-927f-2c44187ba353,c2f307e6-1fd6-498a-a8ed-1a5139425ed5,TerminalAction,explicit_read,"sed -n '1,180p' /flb/workspace/repo/arrow/formatter.py; sed -n '130,190p' /flb/workspace/repo/arrow/locales.py; sed -n '297,410p' /flb/workspace/repo/arrow/locales.py","[""FORMAT_ATOM: Final[str] = \""YYYY-MM-DD HH:mm:ssZZ\"""", ""FORMAT_COOKIE: Final[str] = \""dddd, DD-MMM-YYYY HH:mm:ss ZZZ\""""]",aaaf3c1d8b29814ea0c974e18e84cf0995e6695d8521a98a2cc9f05e2e1eaace
gpt-5.6-luna,arrow__parse_format_core__001,arrow/locales.py,False,True,False,9,59ebe201-e9f1-4081-927f-2c44187ba353,c2f307e6-1fd6-498a-a8ed-1a5139425ed5,TerminalAction,explicit_read,"sed -n '1,180p' /flb/workspace/repo/arrow/formatter.py; sed -n '130,190p' /flb/workspace/repo/arrow/locales.py; sed -n '297,410p' /flb/workspace/repo/arrow/locales.py","[""\""day\"": \""a day\"","", ""\""days\"": \""{0} days\"",""]",aaaf3c1d8b29814ea0c974e18e84cf0995e6695d8521a98a2cc9f05e2e1eaace
gpt-5.6-luna,arrow__parse_format_core__001,arrow/arrow.py,True,True,False,10,8647ad23-4c37-482f-bc87-79233611dc30,998d5892-35f3-4911-935a-4fbc49d2336a,TerminalAction,explicit_read,"sed -n '1,340p' /flb/workspace/repo/arrow/factory.py; sed -n '130,215p' /flb/workspace/repo/arrow/arrow.py; sed -n '280,350p' /flb/workspace/repo/arrow/arrow.py; sed -n '780,870p' /flb/workspace/repo/arrow/arrow.py","[""\""\""\""Constructs an :class:`Arrow <arrow.arrow.Arrow>` object from a ``date`` and optional"", ""replacement timezone. All time values are set to 0.""]",23f77eb20c06bd5602716a40d21cab90dac70fae02eb353aec04efe6bb70be5c
gpt-5.6-luna,arrow__parse_format_core__001,arrow/factory.py,False,True,False,10,8647ad23-4c37-482f-bc87-79233611dc30,998d5892-35f3-4911-935a-4fbc49d2336a,TerminalAction,explicit_read,"sed -n '1,340p' /flb/workspace/repo/arrow/factory.py; sed -n '130,215p' /flb/workspace/repo/arrow/arrow.py; sed -n '280,350p' /flb/workspace/repo/arrow/arrow.py; sed -n '780,870p' /flb/workspace/repo/arrow/arrow.py","[""**One** ``float`` or ``int``, convertible to a floating-point timestamp, to get"", ""that timestamp in UTC::""]",23f77eb20c06bd5602716a40d21cab90dac70fae02eb353aec04efe6bb70be5c
gpt-5.6-luna,arrow__parse_format_core__001,arrow/constants.py,False,True,False,11,d1d7a24a-875e-471e-bb32-ed8f43ae0ca3,dfe0e826-3348-4cf6-aa72-3e0dfd7f7cde,TerminalAction,explicit_read,"sed -n '1080,1325p' /flb/workspace/repo/arrow/arrow.py; sed -n '1,130p' /flb/workspace/repo/arrow/constants.py; sed -n '1,120p' /flb/workspace/repo/arrow/util.py","[""MAX_ORDINAL: Final[int] = datetime.max.toordinal()"", ""MIN_ORDINAL: Final[int] = 1""]",448159468bbf7c82e4c86949ae5fa59aeb0c97f9ed38ce3c9ff622af8794a2ae
gpt-5.6-luna,arrow__parse_format_core__001,arrow/util.py,False,True,False,11,d1d7a24a-875e-471e-bb32-ed8f43ae0ca3,dfe0e826-3348-4cf6-aa72-3e0dfd7f7cde,TerminalAction,explicit_read,"sed -n '1080,1325p' /flb/workspace/repo/arrow/arrow.py; sed -n '1,130p' /flb/workspace/repo/arrow/constants.py; sed -n '1,120p' /flb/workspace/repo/arrow/util.py","[""\""\""\""Check if value is a valid timestamp.\""\""\"""", ""if isinstance(value, bool):""]",448159468bbf7c82e4c86949ae5fa59aeb0c97f9ed38ce3c9ff622af8794a2ae
gpt-5.6-luna,arrow__parse_format_core__001,arrow/api.py,True,True,False,14,833ac3d0-fea6-4db3-b38f-471366eab999,29f9fb21-1b0e-45ac-ac6b-4e9b63fa3fec,TerminalAction,explicit_read,"sed -n '1,120p' /flb/workspace/repo/arrow/__init__.py; sed -n '1,120p' /flb/workspace/repo/arrow/api.py; grep -RIn '^from arrow\|^import arrow' /flb/workspace/repo/arrow","[""\""\""\""Returns an :class:`.ArrowFactory` for the specified :class:`Arrow <arrow.arrow.Arrow>`"", ""or derived type.""]",3f207e7c7d0251948bf1bab53996328e60a24d722271973db8dbaac8d46e5cea
glm-5.3-flash,arrow__parse_format_core__001,arrow/factory.py,False,True,False,7,9f698a58-ff73-4413-b5bc-33aedf5ad164,2d778997-002c-44ff-8cec-9108faa18270,TerminalAction,explicit_read,head -120 /flb/workspace/repo/arrow/factory.py,"[""**One** ``float`` or ``int``, convertible to a floating-point timestamp, to get"", ""that timestamp in UTC::""]",ab95ee80f3a9c979eb2176c41f3c856e179f4b062b5e84c7a1b760ad81b4f079
glm-5.3-flash,arrow__parse_format_core__001,arrow/parser.py,True,True,False,9,582316fa-4491-499e-bcca-79471bf51e28,fe1f4dee-5442-438a-a70c-e9598d273273,TerminalAction,explicit_read,cat /flb/workspace/repo/arrow/parser.py,"[""\""D\"": _ONE_OR_TWO_DIGIT_RE,"", ""\""HH\"": _TWO_DIGIT_RE,""]",98f43005e172e7ff123362d81a3a714c49df0c8cf77298751e302dbd818335f6
glm-5.3-flash,arrow__parse_format_core__001,arrow/constants.py,False,True,False,10,b79e9afc-873e-4ae3-99cb-a21661e63015,593fccfa-4645-40c1-ab5e-36760c4b3454,TerminalAction,explicit_read,cat /flb/workspace/repo/arrow/formatter.py /flb/workspace/repo/arrow/util.py /flb/workspace/repo/arrow/constants.py,"[""MAX_ORDINAL: Final[int] = datetime.max.toordinal()"", ""MIN_ORDINAL: Final[int] = 1""]",029d624269c0fee24dd0685873a243b864b9b381c772c5364cab343318afb451
glm-5.3-flash,arrow__parse_format_core__001,arrow/util.py,False,True,False,10,b79e9afc-873e-4ae3-99cb-a21661e63015,593fccfa-4645-40c1-ab5e-36760c4b3454,TerminalAction,explicit_read,cat /flb/workspace/repo/arrow/formatter.py /flb/workspace/repo/arrow/util.py /flb/workspace/repo/arrow/constants.py,"[""\""\""\""Check if value is a valid timestamp.\""\""\"""", ""if isinstance(value, bool):""]",029d624269c0fee24dd0685873a243b864b9b381c772c5364cab343318afb451
glm-5.3-flash,arrow__parse_format_core__001,arrow/formatter.py,False,True,False,10,b79e9afc-873e-4ae3-99cb-a21661e63015,593fccfa-4645-40c1-ab5e-36760c4b3454,TerminalAction,explicit_read,cat /flb/workspace/repo/arrow/formatter.py /flb/workspace/repo/arrow/util.py /flb/workspace/repo/arrow/constants.py,"[""FORMAT_ATOM: Final[str] = \""YYYY-MM-DD HH:mm:ssZZ\"""", ""FORMAT_COOKIE: Final[str] = \""dddd, DD-MMM-YYYY HH:mm:ss ZZZ\""""]",029d624269c0fee24dd0685873a243b864b9b381c772c5364cab343318afb451
glm-5.3-flash,arrow__parse_format_core__001,arrow/arrow.py,True,True,False,11,08fa8d4e-9fa4-4a2c-9f2b-3dc72066acca,e67ddf6a-c982-416d-971f-2c9f05eb3c6e,TerminalAction,explicit_read,"sed -n '1,250p' /flb/workspace/repo/arrow/arrow.py","[""\""\""\""Constructs an :class:`Arrow <arrow.arrow.Arrow>` object from a timestamp, converted to"", ""the given timezone.""]",cdf4b7d18a21d7dd8681dc6234fc035b7b16f5ad5dcda377ef3eec3f96955af8
